noise_std,layer_name,RME,cosine_similarity
0.0,layer1_output,0.00000000,1.00000024
0.0,layer2_output,0.00000000,1.00000000
0.0,layer3_output,0.00000000,1.00000000
0.0,layer4_output,0.00000000,1.00000000
0.0,fc_output,0.00000000,1.00000000
0.05,layer1_output,0.00575060,0.98715001
0.05,layer2_output,0.00511235,0.98543531
0.05,layer3_output,0.00322799,0.98538506
0.05,layer4_output,0.00272684,0.98631823
0.05,fc_output,0.00660576,0.99375665
0.1,layer1_output,0.00636177,0.95165855
0.1,layer2_output,0.00770894,0.94107592
0.1,layer3_output,0.00820543,0.94023889
0.1,layer4_output,0.01107414,0.94278181
0.1,fc_output,0.01319621,0.96224838
0.15,layer1_output,0.00563332,0.90380591
0.15,layer2_output,0.00172746,0.88154906
0.15,layer3_output,0.01406739,0.87891066
0.15,layer4_output,0.02187286,0.88080645
0.15,fc_output,0.04081661,0.90605462
0.2,layer1_output,0.02865722,0.85274804
0.2,layer2_output,0.01166846,0.82033044
0.2,layer3_output,0.01674078,0.81281906
0.2,layer4_output,0.02752393,0.80920738
0.2,fc_output,0.01749097,0.82566202
0.25,layer1_output,0.05939261,0.80326635
0.25,layer2_output,0.03075403,0.76069796
0.25,layer3_output,0.01506110,0.74596763
0.25,layer4_output,0.02901953,0.73322719
0.25,fc_output,0.00065571,0.72398853
0.3,layer1_output,0.09667034,0.75765914
0.3,layer2_output,0.05583224,0.70694131
0.3,layer3_output,0.00610235,0.68387687
0.3,layer4_output,0.01250580,0.66799992
0.3,fc_output,0.03037581,0.64340019
