alpha,layer_name,RME,cosine_similarity
-0.3,layer1_output,0.24815688,0.87375629
-0.3,layer2_output,0.53031650,0.75383180
-0.3,layer3_output,0.93550597,0.59334332
-0.3,layer4_output,1.37244235,0.47173986
-0.3,fc_output,1.09275219,0.14309064
-0.2,layer1_output,0.13620032,0.93822783
-0.2,layer2_output,0.32040996,0.86698043
-0.2,layer3_output,0.46774585,0.75544393
-0.2,layer4_output,0.52384728,0.62777269
-0.2,fc_output,0.26234723,0.41073677
-0.1,layer1_output,0.05585728,0.98315847
-0.1,layer2_output,0.14753891,0.95969301
-0.1,layer3_output,0.18753356,0.91995662
-0.1,layer4_output,0.17492804,0.86953801
-0.1,fc_output,0.10664695,0.84563327
0.0,layer1_output,0.00000000,1.00000024
0.0,layer2_output,0.00000000,1.00000000
0.0,layer3_output,0.00000000,1.00000000
0.0,layer4_output,0.00000000,1.00000000
0.0,fc_output,0.00000000,1.00000000
0.1,layer1_output,0.03436339,0.98282415
0.1,layer2_output,0.11746364,0.95596260
0.1,layer3_output,0.14390673,0.91820925
0.1,layer4_output,0.17408658,0.87904668
0.1,fc_output,0.17479205,0.86516088
0.2,layer1_output,0.04865208,0.93638164
0.2,layer2_output,0.19903638,0.84486687
0.2,layer3_output,0.24637881,0.74213129
0.2,layer4_output,0.33369475,0.63059354
0.2,fc_output,0.28777962,0.41976762
0.3,layer1_output,0.04543955,0.87098855
0.3,layer2_output,0.24636545,0.70991427
0.3,layer3_output,0.29688191,0.57884210
0.3,layer4_output,0.44934617,0.45184559
0.3,fc_output,0.38808553,0.12733620
