noise_std,layer_name,RME,cosine_similarity
0.0,conv1_output,0.00000000,1.00000012
0.0,conv2_output,0.00000000,1.00000048
0.0,conv3_output,0.00000000,1.00000012
0.0,conv4_output,0.00000000,1.00000012
0.0,fc_output,0.00000000,1.00000000
0.05,conv1_output,0.00249703,0.99729210
0.05,conv2_output,0.00299142,0.99465734
0.05,conv3_output,0.05382203,0.98765635
0.05,conv4_output,0.04700554,0.96022809
0.05,fc_output,0.01760709,0.96401191
0.1,conv1_output,0.00318246,0.98933601
0.1,conv2_output,0.01221845,0.97975016
0.1,conv3_output,0.17793772,0.95292991
0.1,conv4_output,0.08267525,0.85547030
0.1,fc_output,0.13511900,0.84964168
0.15,conv1_output,0.00379804,0.97667170
0.15,conv2_output,0.02791359,0.95824724
0.15,conv3_output,0.34873232,0.90729046
0.15,conv4_output,0.07794966,0.73013145
0.15,fc_output,0.34506666,0.70293087
0.2,conv1_output,0.00270921,0.95986933
0.2,conv2_output,0.04923618,0.93312263
0.2,conv3_output,0.54481326,0.86033767
0.2,conv4_output,0.04543055,0.61529529
0.2,fc_output,0.70129254,0.55325580
0.25,conv1_output,0.01499911,0.93974936
0.25,conv2_output,0.07628241,0.90660232
0.25,conv3_output,0.76506854,0.81764424
0.25,conv4_output,0.00193867,0.52138841
0.25,fc_output,1.03324358,0.41817755
0.3,conv1_output,0.01784928,0.91679311
0.3,conv2_output,0.10773512,0.87909430
0.3,conv3_output,1.00756134,0.77900171
0.3,conv4_output,0.07620616,0.44810230
0.3,fc_output,1.40168071,0.34625220
