alpha,layer_name,RME,cosine_similarity
-0.3,conv1_output,0.04026745,0.99633187
-0.3,conv2_output,0.44092321,0.99617487
-0.3,conv3_output,1.02062174,0.96760803
-0.3,conv4_output,0.69187308,0.92740685
-0.3,fc_output,0.73754215,0.91672170
-0.2,conv1_output,0.02684500,0.99820811
-0.2,conv2_output,0.28493911,0.99813008
-0.2,conv3_output,0.60076332,0.98400056
-0.2,conv4_output,0.41254599,0.96358335
-0.2,fc_output,0.48034415,0.96145678
-0.1,conv1_output,0.01342245,0.99950588
-0.1,conv2_output,0.13803407,0.99948347
-0.1,conv3_output,0.26361262,0.99559969
-0.1,conv4_output,0.18622429,0.98983145
-0.1,fc_output,0.22970955,0.98955095
0.0,conv1_output,0.00000000,1.00000012
0.0,conv2_output,0.00000000,1.00000048
0.0,conv3_output,0.00000000,1.00000012
0.0,conv4_output,0.00000000,1.00000012
0.0,fc_output,0.00000000,1.00000000
0.1,conv1_output,0.01342273,0.99939054
0.1,conv2_output,0.12934253,0.99936086
0.1,conv3_output,0.20090171,0.99505687
0.1,conv4_output,0.15664104,0.98875511
0.1,fc_output,0.20083936,0.98774445
0.2,conv1_output,0.02684555,0.99727333
0.2,conv2_output,0.25025476,0.99713022
0.2,conv3_output,0.35136099,0.97958255
0.2,conv4_output,0.28838983,0.95450884
0.2,fc_output,0.35960053,0.94246399
0.3,conv1_output,0.04026791,0.99310702
0.3,conv2_output,0.36305392,0.99268222
0.3,conv3_output,0.46359762,0.95223254
0.3,conv4_output,0.39743916,0.89557785
0.3,fc_output,0.47956118,0.83073080
