noise_std,layer_name,RME,cosine_similarity
0.0,conv1_output,0.00000000,1.00000024
0.0,conv2_output,0.00000000,1.00000036
0.0,conv3_output,0.00000000,1.00000012
0.0,conv4_output,0.00000000,1.00000012
0.0,fc_output,0.00000000,1.00000000
0.05,conv1_output,0.00302598,0.99704051
0.05,conv2_output,0.00349320,0.99600905
0.05,conv3_output,0.04742136,0.98924249
0.05,conv4_output,0.05778375,0.97499204
0.05,fc_output,0.02351804,0.98410743
0.1,conv1_output,0.00950354,0.98833621
0.1,conv2_output,0.01391983,0.98474127
0.1,conv3_output,0.15157147,0.95852381
0.1,conv4_output,0.10793589,0.90126389
0.1,fc_output,0.08244716,0.91925967
0.15,conv1_output,0.00381935,0.97445828
0.15,conv2_output,0.03089867,0.96800566
0.15,conv3_output,0.29034681,0.91611838
0.15,conv4_output,0.10137459,0.80284959
0.15,fc_output,0.07039148,0.82712758
0.2,conv1_output,0.02116652,0.95628375
0.2,conv2_output,0.05470968,0.94801080
0.2,conv3_output,0.45649307,0.87136930
0.2,conv4_output,0.04943646,0.70391166
0.2,fc_output,0.06795149,0.71491414
0.25,conv1_output,0.00182807,0.93468112
0.25,conv2_output,0.08398070,0.92601532
0.25,conv3_output,0.64006218,0.82778114
0.25,conv4_output,0.03260014,0.61512125
0.25,fc_output,0.02917557,0.61615163
0.3,conv1_output,0.08566076,0.91023964
0.3,conv2_output,0.11725574,0.90344173
0.3,conv3_output,0.84331716,0.78904283
0.3,conv4_output,0.14769719,0.54277194
0.3,fc_output,0.00230813,0.54142541
