alpha,layer_name,RME,cosine_similarity
-0.3,conv1_output,0.01825864,0.99617410
-0.3,conv2_output,0.42712842,0.99666357
-0.3,conv3_output,0.94759776,0.96469939
-0.3,conv4_output,1.06919641,0.92901444
-0.3,fc_output,0.05487432,0.91061562
-0.2,conv1_output,0.01217243,0.99813175
-0.2,conv2_output,0.27645913,0.99837220
-0.2,conv3_output,0.55479851,0.98251963
-0.2,conv4_output,0.58468673,0.96503210
-0.2,fc_output,0.02147054,0.95031440
-0.1,conv1_output,0.00608577,0.99948490
-0.1,conv2_output,0.13414035,0.99955094
-0.1,conv3_output,0.24209845,0.99517298
-0.1,conv4_output,0.23640865,0.99036449
-0.1,fc_output,0.00500920,0.98427093
0.0,conv1_output,0.00000000,1.00000024
0.0,conv2_output,0.00000000,1.00000036
0.0,conv3_output,0.00000000,1.00000012
0.0,conv4_output,0.00000000,1.00000012
0.0,fc_output,0.00000000,1.00000000
0.1,conv1_output,0.00608666,0.99936563
0.1,conv2_output,0.12617428,0.99944538
0.1,conv3_output,0.18271581,0.99453759
0.1,conv4_output,0.14852839,0.98934323
0.1,fc_output,0.00933457,0.97440076
0.2,conv1_output,0.01217306,0.99716407
0.2,conv2_output,0.24467179,0.99751073
0.2,conv3_output,0.31836895,0.97748733
0.2,conv4_output,0.23000725,0.95677972
0.2,fc_output,0.01966399,0.87447155
0.3,conv1_output,0.01825981,0.99283767
0.3,conv2_output,0.35581409,0.99365246
0.3,conv3_output,0.41852449,0.94762248
0.3,conv4_output,0.26218998,0.90102708
0.3,fc_output,0.00483038,0.67855406
