noise_std,layer_name,RME,cosine_similarity
0.0,block2_output,0.00000000,1.00000000
0.0,block3_output,0.00000000,1.00000000
0.0,block4_output,0.00000000,1.00000000
0.0,block5_output,0.00000000,1.00000000
0.0,fc_output,0.00000000,1.00000000
0.05,block2_output,0.00216737,0.99705082
0.05,block3_output,0.00439780,0.99422371
0.05,block4_output,0.00109271,0.99450785
0.05,block5_output,0.00629126,0.99424714
0.05,fc_output,0.07780435,0.99565101
0.1,block2_output,0.00414798,0.98804641
0.1,block3_output,0.01968241,0.97651130
0.1,block4_output,0.00691798,0.97754216
0.1,block5_output,0.02465228,0.97627562
0.1,fc_output,0.13528829,0.98023629
0.15,block2_output,0.00275181,0.97256321
0.15,block3_output,0.04373430,0.94778210
0.15,block4_output,0.01676885,0.94962984
0.15,block5_output,0.04247434,0.94587660
0.15,fc_output,0.31726617,0.94804317
0.2,block2_output,0.00488911,0.95115936
0.2,block3_output,0.07675877,0.91262335
0.2,block4_output,0.03070643,0.91577572
0.2,block5_output,0.05562540,0.90777409
0.2,fc_output,0.46436931,0.89348656
0.25,block2_output,0.01982352,0.92539954
0.25,block3_output,0.11530549,0.87511760
0.25,block4_output,0.06179209,0.88006788
0.25,block5_output,0.05359634,0.86379141
0.25,fc_output,0.61798213,0.82254100
0.3,block2_output,0.04202556,0.89640588
0.3,block3_output,0.15532496,0.83659625
0.3,block4_output,0.08798951,0.84414488
0.3,block5_output,0.04905667,0.82261997
0.3,fc_output,0.60980159,0.74631298
