alpha,layer_name,RME,cosine_similarity
-0.3,block2_output,0.12780374,0.96098340
-0.3,block3_output,0.15363871,0.90091616
-0.3,block4_output,0.71930935,0.87573951
-0.3,block5_output,1.85028355,0.80393505
-0.3,fc_output,1.37654291,0.61364102
-0.2,block2_output,0.07259775,0.98043132
-0.2,block3_output,0.09620628,0.95044029
-0.2,block4_output,0.44221959,0.93003279
-0.2,block5_output,0.96544053,0.86788583
-0.2,fc_output,0.30991052,0.77833635
-0.1,block2_output,0.02983547,0.99452049
-0.1,block3_output,0.04772095,0.98623812
-0.1,block4_output,0.20734662,0.97752023
-0.1,block5_output,0.36378162,0.94921714
-0.1,fc_output,0.00402360,0.93411160
0.0,block2_output,0.00000000,1.00000000
0.0,block3_output,0.00000000,1.00000000
0.0,block4_output,0.00000000,1.00000000
0.0,block5_output,0.00000000,1.00000000
0.0,fc_output,0.00000000,1.00000000
0.1,block2_output,0.01680500,0.99376196
0.1,block3_output,0.05193158,0.98570788
0.1,block4_output,0.18208437,0.96961772
0.1,block5_output,0.16409594,0.94072449
0.1,fc_output,0.04530150,0.92796767
0.2,block2_output,0.02090773,0.97488695
0.2,block3_output,0.10802188,0.94575977
0.2,block4_output,0.33127051,0.87975472
0.2,block5_output,0.21277051,0.82948697
0.2,fc_output,0.09956958,0.70765179
0.3,block2_output,0.01359202,0.94440699
0.3,block3_output,0.16450968,0.88460511
0.3,block4_output,0.44189520,0.75643039
0.3,block5_output,0.23457737,0.73239332
0.3,fc_output,0.04039328,0.41191643
