model_name,alpha,num_bits,accuracy,loss,error_type
resnet18,-0.3,8,12.3900,36.291241,nonlinearity_only
resnet18,-0.2,8,33.0200,9.394555,nonlinearity_only
resnet18,-0.1,8,81.7300,1.122135,nonlinearity_only
resnet18,0.0,8,92.0800,0.414722,nonlinearity_only
resnet18,0.1,8,82.8200,0.841212,nonlinearity_only
resnet18,0.2,8,43.8000,3.409389,nonlinearity_only
resnet18,0.3,8,16.9900,5.442928,nonlinearity_only
resnet18,0.0,8,92.0800,0.414722,quantization_only
resnet18,0.0,6,91.8100,0.422190,quantization_only
resnet18,0.0,4,88.4800,0.586586,quantization_only
resnet18,0.0,3,59.9400,2.626397,quantization_only
resnet18,0.0,2,10.5400,5.909208,quantization_only
resnet18,-0.3,8,12.3900,36.291241,joint
resnet18,-0.3,6,12.5600,36.073311,joint
resnet18,-0.3,4,12.4600,38.323237,joint
resnet18,-0.3,3,10.1300,71.381188,joint
resnet18,-0.3,2,10.8300,14.348496,joint
resnet18,-0.2,8,33.0200,9.394555,joint
resnet18,-0.2,6,33.3400,9.321281,joint
resnet18,-0.2,4,30.3900,10.664784,joint
resnet18,-0.2,3,13.7800,29.285476,joint
resnet18,-0.2,2,10.5800,8.969581,joint
resnet18,-0.1,8,81.7300,1.122135,joint
resnet18,-0.1,6,81.7000,1.126286,joint
resnet18,-0.1,4,75.1800,1.583857,joint
resnet18,-0.1,3,31.2800,9.058341,joint
resnet18,-0.1,2,9.7500,7.498809,joint
resnet18,0.0,8,92.0800,0.414722,joint
resnet18,0.0,6,91.8100,0.422190,joint
resnet18,0.0,4,88.4800,0.586586,joint
resnet18,0.0,3,59.9400,2.626397,joint
resnet18,0.0,2,10.5400,5.909208,joint
resnet18,0.1,8,82.8200,0.841212,joint
resnet18,0.1,6,82.4100,0.863597,joint
resnet18,0.1,4,75.6900,1.274066,joint
resnet18,0.1,3,57.0600,2.655881,joint
resnet18,0.1,2,9.9300,4.854668,joint
resnet18,0.2,8,43.8000,3.409389,joint
resnet18,0.2,6,43.3000,3.449290,joint
resnet18,0.2,4,39.2300,3.923080,joint
resnet18,0.2,3,32.1700,5.343841,joint
resnet18,0.2,2,10.0400,3.974101,joint
resnet18,0.3,8,16.9900,5.442928,joint
resnet18,0.3,6,17.1400,5.468030,joint
resnet18,0.3,4,17.3800,5.739262,joint
resnet18,0.3,3,17.2800,6.680685,joint
resnet18,0.3,2,9.7300,3.249917,joint
