alpha,num_bits,accuracy,loss
-0.3,8,12.3900,36.291241
-0.3,6,12.5600,36.073311
-0.3,4,12.4600,38.323237
-0.3,3,10.1300,71.381188
-0.3,2,10.8300,14.348496
-0.2,8,33.0200,9.394555
-0.2,6,33.3400,9.321281
-0.2,4,30.3900,10.664784
-0.2,3,13.7800,29.285476
-0.2,2,10.5800,8.969581
-0.1,8,81.7300,1.122135
-0.1,6,81.7000,1.126286
-0.1,4,75.1800,1.583857
-0.1,3,31.2800,9.058341
-0.1,2,9.7500,7.498809
0.0,8,92.0800,0.414722
0.0,6,91.8100,0.422190
0.0,4,88.4800,0.586586
0.0,3,59.9400,2.626397
0.0,2,10.5400,5.909208
0.1,8,82.8200,0.841212
0.1,6,82.4100,0.863597
0.1,4,75.6900,1.274066
0.1,3,57.0600,2.655881
0.1,2,9.9300,4.854668
0.2,8,43.8000,3.409389
0.2,6,43.3000,3.449290
0.2,4,39.2300,3.923080
0.2,3,32.1700,5.343841
0.2,2,10.0400,3.974101
0.3,8,16.9900,5.442928
0.3,6,17.1400,5.468030
0.3,4,17.3800,5.739262
0.3,3,17.2800,6.680685
0.3,2,9.7300,3.249917
