alpha,num_bits,accuracy,loss
-0.3,8,78.5600,1.392626
-0.3,6,78.4100,1.390610
-0.3,4,69.4200,2.243874
-0.3,3,32.6900,14.281853
-0.3,2,10.7600,147.870975
-0.2,8,82.9200,0.885460
-0.2,6,82.7500,0.883187
-0.2,4,72.7400,1.643472
-0.2,3,32.2400,11.592954
-0.2,2,10.3000,93.515581
-0.1,8,85.9400,0.604503
-0.1,6,85.8600,0.609825
-0.1,4,74.4300,1.312707
-0.1,3,30.8300,9.883957
-0.1,2,10.4400,57.183591
0.0,8,87.2600,0.470022
0.0,6,87.0700,0.481672
0.0,4,72.7100,1.216251
0.0,3,29.2500,8.578557
0.0,2,10.8600,31.323550
0.1,8,86.4600,0.445085
0.1,6,85.7400,0.465793
0.1,4,68.7400,1.312489
0.1,3,27.1700,7.842745
0.1,2,10.7900,16.500941
0.2,8,81.3400,0.562979
0.2,6,80.3900,0.604330
0.2,4,60.0300,1.621583
0.2,3,22.9700,7.712503
0.2,2,10.6100,11.242915
0.3,8,68.6300,0.955385
0.3,6,66.3800,1.030043
0.3,4,45.7900,2.134773
0.3,3,19.5100,8.021943
0.3,2,9.9100,7.363156
