model_name,alpha,num_bits,accuracy,loss,error_type
simple_cnn,-0.3,32,76.06,0.969324,nonlinearity_only
simple_cnn,-0.2,32,79.99,0.70746,nonlinearity_only
simple_cnn,-0.1,32,83.26,0.537622,nonlinearity_only
simple_cnn,0.0,32,84.9,0.459392,nonlinearity_only
simple_cnn,0.1,32,82.66,0.504517,nonlinearity_only
simple_cnn,0.2,32,73.5,0.775409,nonlinearity_only
simple_cnn,0.3,32,55.08,1.382706,nonlinearity_only
simple_cnn,0.0,8,84.8100,0.459957,quantization_only
simple_cnn,0.0,6,84.5800,0.466152,quantization_only
simple_cnn,0.0,4,74.7100,0.808529,quantization_only
simple_cnn,0.0,3,28.9900,5.954798,quantization_only
simple_cnn,0.0,2,11.0800,12.212969,quantization_only
simple_cnn,-0.3,8,76.0600,0.969245,joint
simple_cnn,-0.3,6,76.3300,0.957638,joint
simple_cnn,-0.3,4,70.0200,1.351090,joint
simple_cnn,-0.3,3,36.4500,7.147840,joint
simple_cnn,-0.3,2,12.0400,50.748735,joint
simple_cnn,-0.2,8,80.1000,0.707386,joint
simple_cnn,-0.2,6,80.2500,0.698719,joint
simple_cnn,-0.2,4,72.8900,1.064292,joint
simple_cnn,-0.2,3,34.5600,6.575492,joint
simple_cnn,-0.2,2,11.6600,30.403459,joint
simple_cnn,-0.1,8,83.1300,0.537842,joint
simple_cnn,-0.1,6,83.3700,0.538359,joint
simple_cnn,-0.1,4,75.0700,0.870401,joint
simple_cnn,-0.1,3,32.3100,6.223648,joint
simple_cnn,-0.1,2,11.0500,19.253604,joint
simple_cnn,0.0,8,84.8100,0.459957,joint
simple_cnn,0.0,6,84.5800,0.466152,joint
simple_cnn,0.0,4,74.7100,0.808529,joint
simple_cnn,0.0,3,28.9900,5.954798,joint
simple_cnn,0.0,2,11.0800,12.212969,joint
simple_cnn,0.1,8,82.6000,0.505245,joint
simple_cnn,0.1,6,81.9800,0.524170,joint
simple_cnn,0.1,4,70.2900,0.910190,joint
simple_cnn,0.1,3,25.8800,5.784906,joint
simple_cnn,0.1,2,10.7300,8.534219,joint
simple_cnn,0.2,8,73.3600,0.777570,joint
simple_cnn,0.2,6,72.1000,0.818849,joint
simple_cnn,0.2,4,58.5500,1.281334,joint
simple_cnn,0.2,3,21.8500,5.982445,joint
simple_cnn,0.2,2,10.0200,7.079191,joint
simple_cnn,0.3,8,54.9200,1.387150,joint
simple_cnn,0.3,6,53.1900,1.449457,joint
simple_cnn,0.3,4,41.2400,1.988530,joint
simple_cnn,0.3,3,17.8100,6.172465,joint
simple_cnn,0.3,2,9.8000,5.519978,joint
exp2,-0.3,32,78.6400,1.393571,nonlinearity_only
exp2,-0.2,32,82.9700,0.884978,nonlinearity_only
exp2,-0.1,32,85.8900,0.605432,nonlinearity_only
exp2,0.0,32,87.3700,0.469276,nonlinearity_only
exp2,0.1,32,86.5400,0.443912,nonlinearity_only
exp2,0.2,32,81.4400,0.560306,nonlinearity_only
exp2,0.3,32,68.7600,0.951016,nonlinearity_only
exp2,0.0,8,87.2600,0.470022,quantization_only
exp2,0.0,6,87.0700,0.481672,quantization_only
exp2,0.0,4,72.7100,1.216251,quantization_only
exp2,0.0,3,29.2500,8.578557,quantization_only
exp2,0.0,2,10.8600,31.323550,quantization_only
exp2,-0.3,8,78.5600,1.392626,joint
exp2,-0.3,6,78.4100,1.390610,joint
exp2,-0.3,4,69.4200,2.243874,joint
exp2,-0.3,3,32.6900,14.281853,joint
exp2,-0.3,2,10.7600,147.870975,joint
exp2,-0.2,8,82.9200,0.885460,joint
exp2,-0.2,6,82.7500,0.883187,joint
exp2,-0.2,4,72.7400,1.643472,joint
exp2,-0.2,3,32.2400,11.592954,joint
exp2,-0.2,2,10.3000,93.515581,joint
exp2,-0.1,8,85.9400,0.604503,joint
exp2,-0.1,6,85.8600,0.609825,joint
exp2,-0.1,4,74.4300,1.312707,joint
exp2,-0.1,3,30.8300,9.883957,joint
exp2,-0.1,2,10.4400,57.183591,joint
exp2,0.0,8,87.2600,0.470022,joint
exp2,0.0,6,87.0700,0.481672,joint
exp2,0.0,4,72.7100,1.216251,joint
exp2,0.0,3,29.2500,8.578557,joint
exp2,0.0,2,10.8600,31.323550,joint
exp2,0.1,8,86.4600,0.445085,joint
exp2,0.1,6,85.7400,0.465793,joint
exp2,0.1,4,68.7400,1.312489,joint
exp2,0.1,3,27.1700,7.842745,joint
exp2,0.1,2,10.7900,16.500941,joint
exp2,0.2,8,81.3400,0.562979,joint
exp2,0.2,6,80.3900,0.604330,joint
exp2,0.2,4,60.0300,1.621583,joint
exp2,0.2,3,22.9700,7.712503,joint
exp2,0.2,2,10.6100,11.242915,joint
exp2,0.3,8,68.6300,0.955385,joint
exp2,0.3,6,66.3800,1.030043,joint
exp2,0.3,4,45.7900,2.134773,joint
exp2,0.3,3,19.5100,8.021943,joint
exp2,0.3,2,9.9100,7.363156,joint
