alpha,num_bits,accuracy,loss
-0.3,8,76.0600,0.969245
-0.3,6,76.3300,0.957638
-0.3,4,70.0200,1.351090
-0.3,3,36.4500,7.147840
-0.3,2,12.0400,50.748735
-0.2,8,80.1000,0.707386
-0.2,6,80.2500,0.698719
-0.2,4,72.8900,1.064292
-0.2,3,34.5600,6.575492
-0.2,2,11.6600,30.403459
-0.1,8,83.1300,0.537842
-0.1,6,83.3700,0.538359
-0.1,4,75.0700,0.870401
-0.1,3,32.3100,6.223648
-0.1,2,11.0500,19.253604
0.0,8,84.8100,0.459957
0.0,6,84.5800,0.466152
0.0,4,74.7100,0.808529
0.0,3,28.9900,5.954798
0.0,2,11.0800,12.212969
0.1,8,82.6000,0.505245
0.1,6,81.9800,0.524170
0.1,4,70.2900,0.910190
0.1,3,25.8800,5.784906
0.1,2,10.7300,8.534219
0.2,8,73.3600,0.777570
0.2,6,72.1000,0.818849
0.2,4,58.5500,1.281334
0.2,3,21.8500,5.982445
0.2,2,10.0200,7.079191
0.3,8,54.9200,1.387150
0.3,6,53.1900,1.449457
0.3,4,41.2400,1.988530
0.3,3,17.8100,6.172465
0.3,2,9.8000,5.519978
