alpha,num_bits,accuracy,loss
-0.3,8,51.7600,7.023050
-0.3,6,51.4300,7.092184
-0.3,4,43.9300,9.348974
-0.3,3,20.9200,28.288445
-0.3,2,13.5800,68.206408
-0.2,8,72.7500,2.399486
-0.2,6,72.5100,2.419808
-0.2,4,63.9800,3.588950
-0.2,3,29.6600,15.389686
-0.2,2,13.6600,29.688465
-0.1,8,85.1500,0.857689
-0.1,6,84.8500,0.867960
-0.1,4,78.8800,1.349420
-0.1,3,40.8300,8.210838
-0.1,2,11.9800,17.531655
0.0,8,89.7300,0.491109
0.0,6,89.5900,0.498868
0.0,4,86.5900,0.653706
0.0,3,51.4600,4.419720
0.0,2,11.0300,15.518069
0.1,8,85.6900,0.648856
0.1,6,85.5200,0.652281
0.1,4,85.4500,0.643774
0.1,3,59.4500,2.557940
0.1,2,10.0500,14.651624
0.2,8,66.8000,1.523907
0.2,6,67.0600,1.512027
0.2,4,71.2100,1.265009
0.2,3,59.7700,2.062664
0.2,2,9.9900,12.197196
0.3,8,36.7400,3.306375
0.3,6,37.1300,3.288932
0.3,4,43.2700,2.737618
0.3,3,42.9700,3.291542
0.3,2,9.9800,9.422017
