model,weight_type,alpha,accuracy,loss,is_extrapolation
simple_cnn,clean,-0.6,63.35,2.615128,True
simple_cnn,clean,-0.5,67.7,1.866536,True
simple_cnn,clean,-0.4,72.15,1.340658,True
simple_cnn,clean,-0.35,73.84,1.139285,True
simple_cnn,clean,-0.3,76.06,0.969324,False
simple_cnn,clean,-0.2,79.99,0.70746,False
simple_cnn,clean,-0.1,83.26,0.537622,False
simple_cnn,clean,0.0,84.9,0.459392,False
simple_cnn,clean,0.1,82.66,0.504517,False
simple_cnn,clean,0.2,73.5,0.775409,False
simple_cnn,clean,0.3,55.08,1.382706,False
simple_cnn,clean,0.35,45.43,1.781944,True
simple_cnn,clean,0.4,37.09,2.189317,True
simple_cnn,clean,0.5,27.11,2.841239,True
simple_cnn,clean,0.6,21.07,3.153288,True
simple_cnn,nat_scratch,-0.6,71.57,2.019098,True
simple_cnn,nat_scratch,-0.5,75.28,1.464563,True
simple_cnn,nat_scratch,-0.4,78.59,1.072512,True
simple_cnn,nat_scratch,-0.35,80.09,0.922993,True
simple_cnn,nat_scratch,-0.3,81.54,0.798628,False
simple_cnn,nat_scratch,-0.2,84.02,0.610974,False
simple_cnn,nat_scratch,-0.1,85.54,0.48995,False
simple_cnn,nat_scratch,0.0,86.49,0.426045,False
simple_cnn,nat_scratch,0.1,84.93,0.437523,False
simple_cnn,nat_scratch,0.2,79.82,0.594913,False
simple_cnn,nat_scratch,0.3,64.23,1.059079,False
simple_cnn,nat_scratch,0.35,51.32,1.448825,True
simple_cnn,nat_scratch,0.4,37.86,1.916115,True
simple_cnn,nat_scratch,0.5,16.34,2.814469,True
simple_cnn,nat_scratch,0.6,10.18,3.265974,True
simple_cnn,nat_finetune,-0.6,63.49,2.712013,True
simple_cnn,nat_finetune,-0.5,68.38,1.894529,True
simple_cnn,nat_finetune,-0.4,72.99,1.329656,True
simple_cnn,nat_finetune,-0.35,75.05,1.118314,True
simple_cnn,nat_finetune,-0.3,77.27,0.94284,False
simple_cnn,nat_finetune,-0.2,81.02,0.678192,False
simple_cnn,nat_finetune,-0.1,84.23,0.513981,False
simple_cnn,nat_finetune,0.0,85.49,0.446448,False
simple_cnn,nat_finetune,0.1,82.87,0.502071,False
simple_cnn,nat_finetune,0.2,73.65,0.772936,False
simple_cnn,nat_finetune,0.3,56.08,1.377893,False
simple_cnn,nat_finetune,0.35,46.72,1.788708,True
simple_cnn,nat_finetune,0.4,38.72,2.222004,True
simple_cnn,nat_finetune,0.5,28.19,2.958933,True
simple_cnn,nat_finetune,0.6,19.49,3.34914,True
simple_cnn,exp2_robust,-0.6,58.99,6.559253,True
simple_cnn,exp2_robust,-0.5,66.15,3.895296,True
simple_cnn,exp2_robust,-0.4,72.68,2.305808,True
simple_cnn,exp2_robust,-0.35,75.81,1.785684,True
simple_cnn,exp2_robust,-0.3,78.64,1.393571,False
simple_cnn,exp2_robust,-0.2,82.97,0.884978,False
simple_cnn,exp2_robust,-0.1,85.89,0.605432,False
simple_cnn,exp2_robust,0.0,87.37,0.469276,False
simple_cnn,exp2_robust,0.1,86.54,0.443912,False
simple_cnn,exp2_robust,0.2,81.44,0.560306,False
simple_cnn,exp2_robust,0.3,68.76,0.951016,False
simple_cnn,exp2_robust,0.35,57.96,1.297251,True
simple_cnn,exp2_robust,0.4,45.72,1.72643,True
simple_cnn,exp2_robust,0.5,24.72,2.525501,True
simple_cnn,exp2_robust,0.6,15.96,2.861242,True
vgg11,clean,-0.6,13.53,67.866118,True
vgg11,clean,-0.5,18.3,36.970141,True
vgg11,clean,-0.4,31.01,17.618239,True
vgg11,clean,-0.35,40.77,11.391881,True
vgg11,clean,-0.3,51.83,7.017273,False
vgg11,clean,-0.2,72.76,2.394881,False
vgg11,clean,-0.1,85.22,0.856265,False
vgg11,clean,0.0,89.8,0.490986,False
vgg11,clean,0.1,85.65,0.649183,False
