noise_type,noise_std,accuracy,loss,dose
gaussian,0.005,36.71,3.316742,0.040962
gaussian,0.01,36.5,3.330583,0.079908
gaussian,0.02,35.86,3.385406,0.158364
gaussian,0.05,32.44,3.625696,0.391826
gaussian,0.1,24.71,4.085641,0.781583
gaussian,0.2,11.64,7.016694,1.712293
gaussian,0.3,9.67,80.38434,2.634271
gaussian,0.5,9.37,3124.178524,3.677699
uniform,0.005,36.62,3.312953,0.02584
uniform,0.01,36.68,3.31748,0.050709
uniform,0.02,36.33,3.341814,0.099055
uniform,0.05,35.07,3.455659,0.247057
uniform,0.1,31.23,3.690355,0.489721
uniform,0.2,21.97,4.275489,0.98379
uniform,0.3,14.08,4.924669,1.557567
uniform,0.5,10.3,60.377686,2.751441
