model,weight_type,alpha,accuracy,loss,is_extrapolation
vgg11,exp2_robust,-0.6,24.02,44.146066,True
vgg11,exp2_robust,-0.5,36.11,22.693466,True
vgg11,exp2_robust,-0.4,52.51,10.260491,True
vgg11,exp2_robust,-0.35,61.47,6.55128,True
vgg11,exp2_robust,-0.3,69.99,4.079874,False
vgg11,exp2_robust,-0.2,82.87,1.574934,False
vgg11,exp2_robust,-0.1,89.23,0.719826,False
vgg11,exp2_robust,0.0,91.27,0.482557,False
vgg11,exp2_robust,0.1,88.65,0.534604,False
vgg11,exp2_robust,0.2,76.96,0.994913,False
vgg11,exp2_robust,0.3,50.25,2.123942,False
vgg11,exp2_robust,0.35,36.56,2.776311,True
vgg11,exp2_robust,0.4,27.34,3.271565,True
vgg11,exp2_robust,0.5,20.18,3.599038,True
vgg11,exp2_robust,0.6,16.0,3.448586,True
resnet18,exp2_robust,-0.6,10.0,39.927191,True
resnet18,exp2_robust,-0.5,10.03,19.887598,True
resnet18,exp2_robust,-0.4,12.05,11.398123,True
resnet18,exp2_robust,-0.35,15.37,9.468211,True
resnet18,exp2_robust,-0.3,23.59,7.54916,False
resnet18,exp2_robust,-0.2,61.34,2.754953,False
resnet18,exp2_robust,-0.1,88.3,0.679617,False
resnet18,exp2_robust,0.0,93.27,0.368181,False
resnet18,exp2_robust,0.1,87.58,0.686693,False
resnet18,exp2_robust,0.2,48.86,3.588146,False
resnet18,exp2_robust,0.3,20.12,7.304861,False
resnet18,exp2_robust,0.35,15.01,7.6567,True
resnet18,exp2_robust,0.4,12.7,7.586815,True
resnet18,exp2_robust,0.5,12.48,7.154202,True
resnet18,exp2_robust,0.6,10.06,6.724606,True
