alpha,layer_name,RME,cosine_similarity
-0.3,layer1_output,0.62906167,0.87375629
-0.3,layer2_output,1.01793475,0.7538318
-0.3,layer3_output,1.90476082,0.59334332
-0.3,layer4_output,2.65565911,0.47173986
-0.3,fc_output,30.84214221,0.14309064
-0.2,layer1_output,0.38145378,0.93822783
-0.2,layer2_output,0.6183978,0.86698043
-0.2,layer3_output,0.98082829,0.75544393
-0.2,layer4_output,1.22625322,0.62777269
-0.2,fc_output,14.24523566,0.41073677
-0.1,layer1_output,0.17816236,0.98315847
-0.1,layer2_output,0.29164643,0.95969301
-0.1,layer3_output,0.39715209,0.91995662
-0.1,layer4_output,0.46799683,0.86953801
-0.1,fc_output,5.42655128,0.84563327
0.1,layer1_output,0.1638607,0.98282415
0.1,layer2_output,0.26055946,0.9559626
0.1,layer3_output,0.30318478,0.91820925
0.1,layer4_output,0.37025857,0.87904668
0.1,fc_output,3.84808973,0.86516088
0.2,layer1_output,0.31679715,0.93638164
0.2,layer2_output,0.4787046,0.84486687
0.2,layer3_output,0.54825416,0.74213129
0.2,layer4_output,0.66285719,0.63059354
0.2,fc_output,6.14704892,0.41976762
0.3,layer1_output,0.45619517,0.87098855
0.3,layer2_output,0.64298097,0.70991427
0.3,layer3_output,0.71341136,0.5788421
0.3,layer4_output,0.80821487,0.45184559
0.3,fc_output,6.38697635,0.1273362
