alpha,layer_name,RME,cosine_similarity
-0.3,conv1_output,0.15469447,0.9961741
-0.3,conv2_output,0.42046224,0.99666357
-0.3,conv3_output,0.76488865,0.96469939
-0.3,conv4_output,0.56523985,0.92901444
-0.3,fc_output,2.24028666,0.91061562
-0.2,conv1_output,0.10312975,0.99813175
-0.2,conv2_output,0.27219334,0.9983722
-0.2,conv3_output,0.4570675,0.98251963
-0.2,conv4_output,0.34813143,0.9650321
-0.2,fc_output,1.53856846,0.9503144
-0.1,conv1_output,0.05156486,0.9994849
-0.1,conv2_output,0.13209956,0.99955094
-0.1,conv3_output,0.20476775,0.99517298
-0.1,conv4_output,0.16367361,0.99036449
-0.1,fc_output,0.79950928,0.98427093
0.1,conv1_output,0.05156488,0.99936563
0.1,conv2_output,0.12433251,0.99944538
0.1,conv3_output,0.16572699,0.99453759
0.1,conv4_output,0.14968395,0.98934323
0.1,fc_output,0.82897881,0.97440076
0.2,conv1_output,0.10312972,0.99716407
0.2,conv2_output,0.2412133,0.99751073
0.2,conv3_output,0.3009821,0.97748733
0.2,conv4_output,0.28503715,0.95677972
0.2,fc_output,1.59872799,0.87447155
0.3,conv1_output,0.15469452,0.99283767
0.3,conv2_output,0.35099353,0.99365246
0.3,conv3_output,0.41304667,0.94762248
0.3,conv4_output,0.40212851,0.90102708
0.3,fc_output,2.19591566,0.67855406
