alpha,layer_name,RME,cosine_similarity
-0.3,block2_output,0.35145943,0.9609834
-0.3,block3_output,0.51184844,0.90091616
-0.3,block4_output,1.02435848,0.87573951
-0.3,block5_output,2.26992335,0.80393505
-0.2,block2_output,0.2248443,0.98043132
-0.2,block3_output,0.32349102,0.95044029
-0.2,block4_output,0.62794251,0.93003279
-0.2,block5_output,1.20796458,0.86788583
-0.1,block2_output,0.10793425,0.99452049
-0.1,block3_output,0.15485335,0.98623812
-0.1,block4_output,0.29279449,0.97752023
-0.1,block5_output,0.47118892,0.94921714
0.1,block2_output,0.09969515,0.99376196
0.1,block3_output,0.14517035,0.98570788
0.1,block4_output,0.2547069,0.96961772
0.1,block5_output,0.26850072,0.94072449
0.2,block2_output,0.19209323,0.97488695
0.2,block3_output,0.28086511,0.94575977
0.2,block4_output,0.46102673,0.87975472
0.2,block5_output,0.43534509,0.82948697
0.3,block2_output,0.27819404,0.94440699
0.3,block3_output,0.40318795,0.88460511
0.3,block4_output,0.60787156,0.75643039
0.3,block5_output,0.5431838,0.73239332
