seed,alpha,acc_clean_head,acc_robust_head,acc_router,acc_softgate,oracle,tau,ahat_mean,ridge_R2,ridge_MAE
42,-0.3,76.31,80.9,80.93,80.62,80.9,0.075,-0.2843,0.9327,0.0373
42,-0.2,80.09,82.42,82.37,82.36,82.42,0.075,-0.1885,0.9327,0.0373
42,-0.1,83.32,83.83,83.6,83.9,83.83,0.075,-0.0932,0.9327,0.0373
42,0.0,84.9,84.29,84.93,84.91,84.9,0.075,0.0027,0.9327,0.0373
42,0.1,82.76,84.13,84.0,83.83,84.13,0.075,0.0982,0.9327,0.0373
42,0.2,74.26,82.53,82.49,81.55,82.53,0.075,0.1894,0.9327,0.0373
42,0.3,57.19,79.17,79.17,78.34,79.17,0.075,0.269,0.9327,0.0373
43,-0.3,76.31,80.75,80.77,80.52,80.75,0.075,-0.2843,0.9327,0.0373
43,-0.2,80.09,82.39,82.38,82.3,82.39,0.075,-0.1885,0.9327,0.0373
43,-0.1,83.32,83.68,83.64,83.86,83.68,0.075,-0.0932,0.9327,0.0373
43,0.0,84.9,84.36,84.91,84.87,84.9,0.075,0.0027,0.9327,0.0373
43,0.1,82.76,84.13,83.94,83.86,84.13,0.075,0.0982,0.9327,0.0373
43,0.2,74.26,82.67,82.63,81.7,82.67,0.075,0.1894,0.9327,0.0373
43,0.3,57.19,79.19,79.19,78.47,79.19,0.075,0.269,0.9327,0.0373
44,-0.3,76.31,81.03,81.04,80.71,81.03,0.05,-0.2843,0.9327,0.0373
44,-0.2,80.09,82.52,82.49,82.15,82.52,0.05,-0.1885,0.9327,0.0373
44,-0.1,83.32,83.94,83.94,83.91,83.94,0.05,-0.0932,0.9327,0.0373
44,0.0,84.9,84.44,84.85,84.98,84.9,0.05,0.0027,0.9327,0.0373
44,0.1,82.76,84.32,84.26,83.8,84.32,0.05,0.0982,0.9327,0.0373
44,0.2,74.26,82.62,82.59,81.52,82.62,0.05,0.1894,0.9327,0.0373
44,0.3,57.19,78.86,78.86,78.09,78.86,0.05,0.269,0.9327,0.0373
