seed,alpha,acc_clean_head,acc_robust_head,acc_router,acc_softgate,oracle,tau,ahat_mean,ridge_R2,ridge_MAE
42,-0.3,81.09,82.43,82.32,82.27,82.43,0.1,-0.2654,0.827,0.0607
42,-0.2,83.97,84.42,84.35,84.44,84.42,0.1,-0.1686,0.827,0.0607
42,-0.1,86.56,85.82,86.27,86.42,86.56,0.1,-0.0778,0.827,0.0607
42,0.0,87.48,86.51,87.12,87.4,87.48,0.1,0.0082,0.827,0.0607
42,0.1,86.8,86.53,86.66,87.19,86.8,0.1,0.0894,0.827,0.0607
42,0.2,82.55,85.65,85.48,85.91,85.65,0.1,0.1648,0.827,0.0607
42,0.3,70.34,82.88,82.88,82.92,82.88,0.1,0.2321,0.827,0.0607
43,-0.3,81.09,83.11,83.04,82.89,83.11,0.075,-0.2654,0.827,0.0607
43,-0.2,83.97,84.67,84.56,84.54,84.67,0.075,-0.1686,0.827,0.0607
43,-0.1,86.56,85.77,86.03,86.44,86.56,0.075,-0.0778,0.827,0.0607
43,0.0,87.48,86.65,87.1,87.41,87.48,0.075,0.0082,0.827,0.0607
43,0.1,86.8,86.66,86.92,87.17,86.8,0.075,0.0894,0.827,0.0607
43,0.2,82.55,85.65,85.63,85.47,85.65,0.075,0.1648,0.827,0.0607
43,0.3,70.34,82.7,82.7,82.2,82.7,0.075,0.2321,0.827,0.0607
44,-0.3,81.09,82.92,82.79,82.56,82.92,0.1,-0.2654,0.827,0.0607
44,-0.2,83.97,84.68,84.48,84.76,84.68,0.1,-0.1686,0.827,0.0607
44,-0.1,86.56,85.99,86.32,86.3,86.56,0.1,-0.0778,0.827,0.0607
44,0.0,87.48,86.67,87.22,87.45,87.48,0.1,0.0082,0.827,0.0607
44,0.1,86.8,86.85,86.89,87.13,86.85,0.1,0.0894,0.827,0.0607
44,0.2,82.55,85.68,85.61,85.49,85.68,0.1,0.1648,0.827,0.0607
44,0.3,70.34,83.15,83.15,82.57,83.15,0.1,0.2321,0.827,0.0607
