noise_std,layer_name,RME,cosine_similarity
0.0,layer1_output,0.00000000,1.00000012
0.0,layer2_output,0.00000000,1.00000000
0.0,layer3_output,0.00000000,1.00000000
0.0,layer4_output,0.00000000,1.00000000
0.0,fc_output,0.00000000,1.00000000
0.05,layer1_output,0.00789903,0.97267431
0.05,layer2_output,0.00751073,0.96789926
0.05,layer3_output,0.00021126,0.96454245
0.05,layer4_output,0.00511217,0.95366645
0.05,fc_output,0.04785903,0.95856833
0.1,layer1_output,0.00103580,0.91172481
0.1,layer2_output,0.00022357,0.89675242
0.1,layer3_output,0.00785025,0.88195097
0.1,layer4_output,0.01293383,0.84926516
0.1,fc_output,0.14876244,0.85111046
0.15,layer1_output,0.02629335,0.84574431
0.15,layer2_output,0.01435720,0.82279861
0.15,layer3_output,0.01881862,0.79364318
0.15,layer4_output,0.02609208,0.74118918
0.15,fc_output,0.16621687,0.71879053
0.2,layer1_output,0.06267692,0.78592426
0.2,layer2_output,0.03311303,0.75519115
0.2,layer3_output,0.02394657,0.71016252
0.2,layer4_output,0.05478165,0.64279735
0.2,fc_output,0.23143638,0.56690270
0.25,layer1_output,0.10567548,0.73400521
0.25,layer2_output,0.05601999,0.69552910
0.25,layer3_output,0.01771355,0.63696188
0.25,layer4_output,0.08966811,0.56527460
0.25,fc_output,0.35216275,0.43335584
0.3,layer1_output,0.15244907,0.68871361
0.3,layer2_output,0.08230889,0.64223629
0.3,layer3_output,0.00028639,0.57609063
0.3,layer4_output,0.11875592,0.50630498
0.3,fc_output,0.38695842,0.32587761
