alpha,layer_name,RME,cosine_similarity
-0.3,layer1_output,0.18532208,0.89248937
-0.3,layer2_output,0.56535313,0.75639206
-0.3,layer3_output,0.94213655,0.51364386
-0.3,layer4_output,0.71504964,0.38603553
-0.3,fc_output,2.01428356,0.11836508
-0.2,layer1_output,0.09590325,0.94730043
-0.2,layer2_output,0.33492288,0.87298316
-0.2,layer3_output,0.42299442,0.69539505
-0.2,layer4_output,0.17033921,0.51442796
-0.2,fc_output,1.14395252,0.30328235
-0.1,layer1_output,0.03653780,0.98576540
-0.1,layer2_output,0.15496725,0.96303296
-0.1,layer3_output,0.15559617,0.89938474
-0.1,layer4_output,0.01008377,0.78764248
-0.1,fc_output,0.50782481,0.71861416
0.0,layer1_output,0.00000000,1.00000012
0.0,layer2_output,0.00000000,1.00000000
0.0,layer3_output,0.00000000,1.00000000
0.0,layer4_output,0.00000000,1.00000000
0.0,fc_output,0.00000000,1.00000000
0.1,layer1_output,0.01948992,0.98586202
0.1,layer2_output,0.12664299,0.95890820
0.1,layer3_output,0.11460480,0.89932728
0.1,layer4_output,0.01571571,0.80895454
0.1,fc_output,0.08944343,0.77579224
0.2,layer1_output,0.02631186,0.94759887
0.2,layer2_output,0.21503557,0.84832078
0.2,layer3_output,0.20474093,0.69195008
0.2,layer4_output,0.00277542,0.54318666
0.2,fc_output,0.45838469,0.35203949
0.3,layer1_output,0.02356635,0.89231801
0.3,layer2_output,0.26273086,0.70384985
0.3,layer3_output,0.25799474,0.51619977
0.3,layer4_output,0.03074170,0.43241113
0.3,fc_output,0.85459111,0.14756936
