noise_std,layer_name,RME,cosine_similarity
0.0,conv1_output,0.00000000,1.00000024
0.0,conv2_output,0.00000000,1.00000036
0.0,conv3_output,0.00000000,1.00000000
0.0,conv4_output,0.00000000,1.00000012
0.0,fc_output,0.00000000,1.00000000
0.05,conv1_output,0.01075763,0.99501616
0.05,conv2_output,0.00407752,0.99209815
0.05,conv3_output,0.09144461,0.97900963
0.05,conv4_output,0.07818070,0.92867100
0.05,fc_output,0.06943708,0.94045079
0.1,conv1_output,0.03304127,0.98067617
0.1,conv2_output,0.01688986,0.97134435
0.1,conv3_output,0.29617669,0.92199993
0.1,conv4_output,0.03037870,0.76766849
0.1,fc_output,0.00019616,0.78250498
0.15,conv1_output,0.03517929,0.95830953
0.15,conv2_output,0.03796200,0.94367129
0.15,conv3_output,0.54912015,0.85840350
0.15,conv4_output,0.09289517,0.61631495
0.15,fc_output,0.25751332,0.60339445
0.2,conv1_output,0.06388870,0.92999297
0.2,conv2_output,0.06794442,0.91404867
0.2,conv3_output,0.82157317,0.80280036
0.2,conv4_output,0.24265616,0.50122845
0.2,fc_output,0.60761589,0.48253113
0.25,conv1_output,0.11429715,0.89782959
0.25,conv2_output,0.10538211,0.88413382
0.25,conv3_output,1.12259851,0.75684899
0.25,conv4_output,0.39772945,0.41946876
0.25,fc_output,0.98992493,0.38399598
0.3,conv1_output,0.06934556,0.86271048
0.3,conv2_output,0.14703007,0.85515177
0.3,conv3_output,1.45178522,0.71871680
0.3,conv4_output,0.54518988,0.35806456
0.3,fc_output,1.28238176,0.32111165
