alpha,layer_name,RME,cosine_similarity
-0.3,conv1_output,0.32956173,0.99580336
-0.3,conv2_output,0.40535227,0.99626130
-0.3,conv3_output,1.07602141,0.96318716
-0.3,conv4_output,0.60419957,0.91300815
-0.3,fc_output,0.72036488,0.84836864
-0.2,conv1_output,0.21970763,0.99796426
-0.2,conv2_output,0.26296740,0.99819070
-0.2,conv3_output,0.62438607,0.98184937
-0.2,conv4_output,0.38430394,0.95601010
-0.2,fc_output,0.45919243,0.92281288
-0.1,conv1_output,0.10985300,0.99944288
-0.1,conv2_output,0.12791612,0.99950552
-0.1,conv3_output,0.26956881,0.99498582
-0.1,conv4_output,0.18530325,0.98752749
-0.1,fc_output,0.21920749,0.97811484
0.0,conv1_output,0.00000000,1.00000024
0.0,conv2_output,0.00000000,1.00000036
0.0,conv3_output,0.00000000,1.00000000
0.0,conv4_output,0.00000000,1.00000012
0.0,fc_output,0.00000000,1.00000000
0.1,conv1_output,0.10985211,0.99932522
0.1,conv2_output,0.12099538,0.99940300
0.1,conv3_output,0.19765813,0.99425298
0.1,conv4_output,0.17369117,0.98555875
0.1,fc_output,0.20406117,0.97207707
0.2,conv1_output,0.21970666,0.99701232
0.2,conv2_output,0.23535643,0.99735492
0.2,conv3_output,0.33867271,0.97612250
0.2,conv4_output,0.33231584,0.94050002
0.2,fc_output,0.40030299,0.87601179
0.3,conv1_output,0.32956169,0.99253458
0.3,conv2_output,0.34340728,0.99334133
0.3,conv3_output,0.43827284,0.94407803
0.3,conv4_output,0.46414301,0.86170399
0.3,fc_output,0.56291255,0.70071900
