noise_std,layer_name,RME,cosine_similarity
0.0,conv1_output,0.00000000,1.00000024
0.0,conv2_output,0.00000000,1.00000024
0.0,conv3_output,0.00000000,1.00000012
0.0,conv4_output,0.00000000,1.00000012
0.0,fc_output,0.00000000,1.00000000
0.05,conv1_output,0.00247221,0.99510938
0.05,conv2_output,0.00463676,0.99294841
0.05,conv3_output,0.13403018,0.97505397
0.05,conv4_output,0.08811294,0.89739418
0.05,fc_output,0.23325300,0.94467628
0.1,conv1_output,0.00982666,0.98091471
0.1,conv2_output,0.01924132,0.97414201
0.1,conv3_output,0.43834736,0.90590495
0.1,conv4_output,0.11819693,0.67521042
0.1,fc_output,0.33459708,0.78988075
0.15,conv1_output,0.01348481,0.95896345
0.15,conv2_output,0.04537582,0.94897592
0.15,conv3_output,0.80388289,0.82919550
0.15,conv4_output,0.40070947,0.48012239
0.15,fc_output,0.20746295,0.61980718
0.2,conv1_output,0.02429874,0.93110776
0.2,conv2_output,0.08156990,0.92163253
0.2,conv3_output,1.19664629,0.76379561
0.2,conv4_output,0.72074439,0.34484109
0.2,fc_output,0.02710683,0.47901136
0.25,conv1_output,0.00815800,0.89901698
0.25,conv2_output,0.12632919,0.89381540
0.25,conv3_output,1.60862076,0.70956355
0.25,conv4_output,0.98937922,0.25383708
0.25,fc_output,0.15325651,0.38630092
0.3,conv1_output,0.11931301,0.86477613
0.3,conv2_output,0.17789419,0.86735421
0.3,conv3_output,2.04949715,0.66694838
0.3,conv4_output,1.29062012,0.19501609
0.3,fc_output,0.48783813,0.33666721
