alpha,layer_name,RME,cosine_similarity
-0.3,conv1_output,0.86050949,0.99582976
-0.3,conv2_output,0.40596055,0.99646848
-0.3,conv3_output,1.25576937,0.95266771
-0.3,conv4_output,0.61533981,0.87833947
-0.3,fc_output,1.22950590,0.88215113
-0.2,conv1_output,0.57367382,0.99797744
-0.2,conv2_output,0.26301093,0.99828857
-0.2,conv3_output,0.72562956,0.97660393
-0.2,conv4_output,0.35064920,0.93696427
-0.2,fc_output,0.83191456,0.93974167
-0.1,conv1_output,0.28683716,0.99944669
-0.1,conv2_output,0.12778649,0.99953157
-0.1,conv3_output,0.31026808,0.99355459
-0.1,conv4_output,0.14212870,0.98158199
-0.1,fc_output,0.42230612,0.98258346
0.0,conv1_output,0.00000000,1.00000024
0.0,conv2_output,0.00000000,1.00000024
0.0,conv3_output,0.00000000,1.00000012
0.0,conv4_output,0.00000000,1.00000012
0.0,fc_output,0.00000000,1.00000000
0.1,conv1_output,0.28683635,0.99932992
0.1,conv2_output,0.12064845,0.99943322
0.1,conv3_output,0.21793069,0.99281138
0.1,conv4_output,0.08672327,0.97791296
0.1,fc_output,0.38991152,0.97620732
0.2,conv1_output,0.57367345,0.99703395
0.2,conv2_output,0.23451368,0.99748725
0.2,conv3_output,0.35821185,0.97100973
0.2,conv4_output,0.14046265,0.90968788
0.2,fc_output,0.70702167,0.88362074
0.3,conv1_output,0.86050949,0.99258971
0.3,conv2_output,0.34198803,0.99367541
0.3,conv3_output,0.44079326,0.93399787
0.3,conv4_output,0.17775835,0.79332453
0.3,fc_output,0.93181580,0.69189417
