noise_std,layer_name,RME,cosine_similarity
0.0,block2_output,0.00000000,1.00000000
0.0,block3_output,0.00000000,1.00000000
0.0,block4_output,0.00000000,1.00000000
0.0,block5_output,0.00000000,1.00000000
0.0,fc_output,0.00000000,1.00000000
0.05,block2_output,0.00606017,0.99447840
0.05,block3_output,0.00177090,0.99050391
0.05,block4_output,0.00642943,0.98823208
0.05,block5_output,0.00671738,0.98375171
0.05,fc_output,0.21187362,0.97826588
0.1,block2_output,0.00571844,0.97658634
0.1,block3_output,0.01403993,0.95872915
0.1,block4_output,0.01775074,0.94703192
0.1,block5_output,0.02572796,0.93178636
0.1,fc_output,0.39083167,0.89760095
0.15,block2_output,0.00648941,0.94628739
0.15,block3_output,0.03509975,0.90988696
0.15,block4_output,0.03568795,0.88608849
0.15,block5_output,0.05310550,0.86265701
0.15,fc_output,0.53598407,0.76246405
0.2,block2_output,0.03281148,0.90787244
0.2,block3_output,0.06142922,0.85466158
0.2,block4_output,0.06497779,0.82227820
0.2,block5_output,0.08678885,0.79722828
0.2,fc_output,0.56874468,0.60912740
0.25,block2_output,0.07404278,0.86548090
0.25,block3_output,0.09494819,0.80084717
0.25,block4_output,0.10703858,0.76543295
0.25,block5_output,0.14505672,0.74625671
0.25,fc_output,0.60897371,0.46702790
0.3,block2_output,0.12506537,0.82372040
0.3,block3_output,0.12890007,0.75043988
0.3,block4_output,0.15821220,0.71797228
0.3,block5_output,0.20600165,0.71028370
0.3,fc_output,0.51042076,0.35397011
