alpha,layer_name,RME,cosine_similarity
-0.3,block2_output,0.11623140,0.95754415
-0.3,block3_output,0.11239323,0.88464564
-0.3,block4_output,0.64847947,0.83731496
-0.3,block5_output,0.74831786,0.74990851
-0.3,fc_output,1.24416880,0.40781540
-0.2,block2_output,0.06363434,0.97881073
-0.2,block3_output,0.07363559,0.94276351
-0.2,block4_output,0.38865683,0.90922141
-0.2,block5_output,0.35477623,0.83985227
-0.2,fc_output,0.67235618,0.64345944
-0.1,block2_output,0.02474971,0.99411464
-0.1,block3_output,0.03917940,0.98433864
-0.1,block4_output,0.17868660,0.97169024
-0.1,block5_output,0.11960642,0.94282085
-0.1,fc_output,0.27963646,0.89215416
0.0,block2_output,0.00000000,1.00000000
0.0,block3_output,0.00000000,1.00000000
0.0,block4_output,0.00000000,1.00000000
0.0,block5_output,0.00000000,1.00000000
0.0,fc_output,0.00000000,1.00000000
0.1,block2_output,0.01079315,0.99347252
0.1,block3_output,0.04964017,0.98440403
0.1,block4_output,0.15750302,0.96596795
0.1,block5_output,0.04954465,0.93964648
0.1,fc_output,0.48413982,0.90253794
0.2,block2_output,0.00875777,0.97405607
0.2,block3_output,0.10991148,0.94218338
0.2,block4_output,0.29302627,0.87221670
0.2,block5_output,0.08195809,0.82537121
0.2,fc_output,1.28123524,0.68259645
0.3,block2_output,0.00448236,0.94313717
0.3,block3_output,0.17550747,0.87983418
0.3,block4_output,0.40056552,0.74593443
0.3,block5_output,0.12706008,0.72418135
0.3,fc_output,1.91214685,0.43801808
