model_name,alpha,num_bits,accuracy,loss,error_type
resnet18,-0.3,8,3.2300,26.619568,nonlinearity_only
resnet18,-0.2,8,9.3000,12.309717,nonlinearity_only
resnet18,-0.1,8,45.7400,3.473802,nonlinearity_only
resnet18,0.0,8,71.9600,1.400567,nonlinearity_only
resnet18,0.1,8,51.6800,2.616025,nonlinearity_only
resnet18,0.2,8,10.5500,6.906891,nonlinearity_only
resnet18,0.3,8,2.6800,8.330548,nonlinearity_only
resnet18,0.0,8,71.9600,1.400567,quantization_only
resnet18,0.0,6,71.4500,1.421035,quantization_only
resnet18,0.0,4,62.0800,2.016340,quantization_only
resnet18,0.0,3,19.2200,7.232919,quantization_only
resnet18,0.0,2,1.0900,11.396709,quantization_only
resnet18,-0.3,8,3.2300,26.619568,joint
resnet18,-0.3,6,3.3200,26.504678,joint
resnet18,-0.3,4,2.9600,29.235529,joint
resnet18,-0.3,3,1.8100,45.044445,joint
resnet18,-0.3,2,1.0200,21.128243,joint
resnet18,-0.2,8,9.3000,12.309717,joint
resnet18,-0.2,6,9.5600,12.198044,joint
resnet18,-0.2,4,6.7000,14.167385,joint
resnet18,-0.2,3,2.3500,24.429608,joint
resnet18,-0.2,2,1.0600,18.663821,joint
resnet18,-0.1,8,45.7400,3.473802,joint
resnet18,-0.1,6,46.0900,3.429252,joint
resnet18,-0.1,4,35.9800,4.559824,joint
resnet18,-0.1,3,6.8600,12.214206,joint
resnet18,-0.1,2,1.1400,14.259599,joint
resnet18,0.0,8,71.9600,1.400567,joint
resnet18,0.0,6,71.4500,1.421035,joint
resnet18,0.0,4,62.0800,2.016340,joint
resnet18,0.0,3,19.2200,7.232919,joint
resnet18,0.0,2,1.0900,11.396709,joint
resnet18,0.1,8,51.6800,2.616025,joint
resnet18,0.1,6,50.8300,2.680252,joint
resnet18,0.1,4,40.3100,3.672220,joint
resnet18,0.1,3,15.5200,7.890971,joint
resnet18,0.1,2,1.0000,9.114126,joint
resnet18,0.2,8,10.5500,6.906891,joint
resnet18,0.2,6,10.1700,6.977546,joint
resnet18,0.2,4,8.3400,7.887042,joint
resnet18,0.2,3,5.5600,9.994885,joint
resnet18,0.2,2,1.1100,7.923242,joint
resnet18,0.3,8,2.6800,8.330548,joint
resnet18,0.3,6,2.7400,8.370249,joint
resnet18,0.3,4,2.4700,8.894766,joint
resnet18,0.3,3,1.7200,10.418936,joint
resnet18,0.3,2,1.0000,7.253029,joint
