alpha,num_bits,accuracy,loss
-0.3,8,43.1900,4.467027
-0.3,6,43.0500,4.495058
-0.3,4,26.9400,8.414619
-0.3,3,5.6000,45.491654
-0.3,2,1.3300,189.569570
-0.2,8,52.0800,2.759573
-0.2,6,51.5600,2.788598
-0.2,4,31.1700,6.026611
-0.2,3,5.3100,37.921806
-0.2,2,1.0400,112.013756
-0.1,8,58.1700,1.865426
-0.1,6,57.8300,1.895143
-0.1,4,33.0400,4.602613
-0.1,3,4.4900,31.460732
-0.1,2,1.2000,62.924097
0.0,8,61.3500,1.496124
0.0,6,60.3500,1.537011
0.0,4,33.4600,3.877164
0.0,3,4.1900,26.070950
0.0,2,1.1100,34.975307
0.1,8,58.1500,1.524975
0.1,6,56.7900,1.585649
0.1,4,28.6000,3.750195
0.1,3,3.6300,22.135920
0.1,2,1.0600,20.977361
0.2,8,46.0700,2.028422
0.2,6,43.9400,2.132686
0.2,4,18.9200,4.237048
0.2,3,3.0200,18.738433
0.2,2,0.9200,14.171370
0.3,8,25.0600,3.039073
0.3,6,22.9200,3.171495
0.3,4,10.2700,4.940639
0.3,3,2.3900,15.839972
0.3,2,1.0600,10.291985
