model_name,alpha,num_bits,accuracy,loss,error_type
simple_cnn,-0.3,32,42.91,3.368336,nonlinearity_only
simple_cnn,-0.2,32,51.14,2.350227,nonlinearity_only
simple_cnn,-0.1,32,57.22,1.76219,nonlinearity_only
simple_cnn,0.0,32,59.99,1.495841,nonlinearity_only
simple_cnn,0.1,32,58.09,1.528436,nonlinearity_only
simple_cnn,0.2,32,47.62,1.95414,nonlinearity_only
simple_cnn,0.3,32,28.09,2.857278,nonlinearity_only
simple_cnn,0.0,8,59.9200,1.496683,quantization_only
simple_cnn,0.0,6,59.3800,1.518632,quantization_only
simple_cnn,0.0,4,38.4000,2.834283,quantization_only
simple_cnn,0.0,3,3.8700,19.677578,quantization_only
simple_cnn,0.0,2,1.2800,28.965537,quantization_only
simple_cnn,-0.3,8,42.9200,3.370971,joint
simple_cnn,-0.3,6,42.0900,3.421138,joint
simple_cnn,-0.3,4,27.7500,5.519766,joint
simple_cnn,-0.3,3,5.6400,26.841481,joint
simple_cnn,-0.3,2,1.1900,120.558002,joint
simple_cnn,-0.2,8,51.1500,2.351734,joint
simple_cnn,-0.2,6,50.2000,2.391097,joint
simple_cnn,-0.2,4,32.6500,4.153552,joint
simple_cnn,-0.2,3,5.3200,23.786435,joint
simple_cnn,-0.2,2,1.0500,80.479874,joint
simple_cnn,-0.1,8,57.2200,1.764322,joint
simple_cnn,-0.1,6,56.7600,1.792589,joint
simple_cnn,-0.1,4,37.1300,3.261015,joint
simple_cnn,-0.1,3,4.6000,21.429327,joint
simple_cnn,-0.1,2,1.3400,49.986620,joint
simple_cnn,0.0,8,59.9200,1.496683,joint
simple_cnn,0.0,6,59.3800,1.518632,joint
simple_cnn,0.0,4,38.4000,2.834283,joint
simple_cnn,0.0,3,3.8700,19.677578,joint
simple_cnn,0.0,2,1.2800,28.965537,joint
simple_cnn,0.1,8,58.1700,1.529610,joint
simple_cnn,0.1,6,57.3000,1.553920,joint
simple_cnn,0.1,4,34.4600,2.847039,joint
simple_cnn,0.1,3,3.2100,19.103531,joint
simple_cnn,0.1,2,1.0800,16.905630,joint
simple_cnn,0.2,8,47.6000,1.956315,joint
simple_cnn,0.2,6,46.5500,1.995784,joint
simple_cnn,0.2,4,24.6500,3.359555,joint
simple_cnn,0.2,3,2.2200,19.249532,joint
simple_cnn,0.2,2,1.0900,11.099210,joint
simple_cnn,0.3,8,27.9600,2.859696,joint
simple_cnn,0.3,6,27.2900,2.904101,joint
simple_cnn,0.3,4,13.2500,4.187642,joint
simple_cnn,0.3,3,1.6100,19.849233,joint
simple_cnn,0.3,2,1.1400,8.550018,joint
exp2,-0.3,32,43.1000,4.469898,nonlinearity_only
exp2,-0.2,32,52.1500,2.759434,nonlinearity_only
exp2,-0.1,32,58.1700,1.863649,nonlinearity_only
exp2,0.0,32,61.2200,1.493491,nonlinearity_only
exp2,0.1,32,58.1200,1.521366,nonlinearity_only
exp2,0.2,32,46.3300,2.022270,nonlinearity_only
exp2,0.3,32,25.1600,3.028708,nonlinearity_only
exp2,0.0,8,61.3500,1.496124,quantization_only
exp2,0.0,6,60.3500,1.537011,quantization_only
exp2,0.0,4,33.4600,3.877164,quantization_only
exp2,0.0,3,4.1900,26.070950,quantization_only
exp2,0.0,2,1.1100,34.975307,quantization_only
exp2,-0.3,8,43.1900,4.467027,joint
exp2,-0.3,6,43.0500,4.495058,joint
exp2,-0.3,4,26.9400,8.414619,joint
exp2,-0.3,3,5.6000,45.491654,joint
exp2,-0.3,2,1.3300,189.569570,joint
exp2,-0.2,8,52.0800,2.759573,joint
exp2,-0.2,6,51.5600,2.788598,joint
exp2,-0.2,4,31.1700,6.026611,joint
exp2,-0.2,3,5.3100,37.921806,joint
exp2,-0.2,2,1.0400,112.013756,joint
exp2,-0.1,8,58.1700,1.865426,joint
exp2,-0.1,6,57.8300,1.895143,joint
exp2,-0.1,4,33.0400,4.602613,joint
exp2,-0.1,3,4.4900,31.460732,joint
exp2,-0.1,2,1.2000,62.924097,joint
exp2,0.0,8,61.3500,1.496124,joint
exp2,0.0,6,60.3500,1.537011,joint
exp2,0.0,4,33.4600,3.877164,joint
exp2,0.0,3,4.1900,26.070950,joint
exp2,0.0,2,1.1100,34.975307,joint
exp2,0.1,8,58.1500,1.524975,joint
exp2,0.1,6,56.7900,1.585649,joint
exp2,0.1,4,28.6000,3.750195,joint
exp2,0.1,3,3.6300,22.135920,joint
exp2,0.1,2,1.0600,20.977361,joint
exp2,0.2,8,46.0700,2.028422,joint
exp2,0.2,6,43.9400,2.132686,joint
exp2,0.2,4,18.9200,4.237048,joint
exp2,0.2,3,3.0200,18.738433,joint
exp2,0.2,2,0.9200,14.171370,joint
exp2,0.3,8,25.0600,3.039073,joint
exp2,0.3,6,22.9200,3.171495,joint
exp2,0.3,4,10.2700,4.940639,joint
exp2,0.3,3,2.3900,15.839972,joint
exp2,0.3,2,1.0600,10.291985,joint
