alpha,num_bits,accuracy,loss
-0.3,8,42.9200,3.370971
-0.3,6,42.0900,3.421138
-0.3,4,27.7500,5.519766
-0.3,3,5.6400,26.841481
-0.3,2,1.1900,120.558002
-0.2,8,51.1500,2.351734
-0.2,6,50.2000,2.391097
-0.2,4,32.6500,4.153552
-0.2,3,5.3200,23.786435
-0.2,2,1.0500,80.479874
-0.1,8,57.2200,1.764322
-0.1,6,56.7600,1.792589
-0.1,4,37.1300,3.261015
-0.1,3,4.6000,21.429327
-0.1,2,1.3400,49.986620
0.0,8,59.9200,1.496683
0.0,6,59.3800,1.518632
0.0,4,38.4000,2.834283
0.0,3,3.8700,19.677578
0.0,2,1.2800,28.965537
0.1,8,58.1700,1.529610
0.1,6,57.3000,1.553920
0.1,4,34.4600,2.847039
0.1,3,3.2100,19.103531
0.1,2,1.0800,16.905630
0.2,8,47.6000,1.956315
0.2,6,46.5500,1.995784
0.2,4,24.6500,3.359555
0.2,3,2.2200,19.249532
0.2,2,1.0900,11.099210
0.3,8,27.9600,2.859696
0.3,6,27.2900,2.904101
0.3,4,13.2500,4.187642
0.3,3,1.6100,19.849233
0.3,2,1.1400,8.550018
