model_name,alpha,num_bits,accuracy,loss,error_type
vgg11,-0.3,8,24.5700,9.687570,nonlinearity_only
vgg11,-0.2,8,43.2600,4.455603,nonlinearity_only
vgg11,-0.1,8,60.1000,2.227789,nonlinearity_only
vgg11,0.0,8,67.1400,1.563973,nonlinearity_only
vgg11,0.1,8,60.9500,1.771581,nonlinearity_only
vgg11,0.2,8,39.0200,2.907840,nonlinearity_only
vgg11,0.3,8,16.9100,4.598096,nonlinearity_only
vgg11,0.0,8,67.1400,1.563973,quantization_only
vgg11,0.0,6,66.7200,1.577882,quantization_only
vgg11,0.0,4,59.9000,1.979713,quantization_only
vgg11,0.0,3,17.3300,7.561918,quantization_only
vgg11,0.0,2,1.0200,17.871243,quantization_only
vgg11,-0.3,8,24.5700,9.687570,joint
vgg11,-0.3,6,24.3400,9.748015,joint
vgg11,-0.3,4,18.7600,11.640922,joint
vgg11,-0.3,3,6.1100,26.021111,joint
vgg11,-0.3,2,1.6900,67.844734,joint
vgg11,-0.2,8,43.2600,4.455603,joint
vgg11,-0.2,6,43.1100,4.484118,joint
vgg11,-0.2,4,34.6300,5.724263,joint
vgg11,-0.2,3,9.1800,16.508323,joint
vgg11,-0.2,2,1.4500,36.838248,joint
vgg11,-0.1,8,60.1000,2.227789,joint
vgg11,-0.1,6,60.1900,2.244913,joint
vgg11,-0.1,4,51.1700,2.947523,joint
vgg11,-0.1,3,13.2700,10.640428,joint
vgg11,-0.1,2,1.6400,23.291810,joint
vgg11,0.0,8,67.1400,1.563973,joint
vgg11,0.0,6,66.7200,1.577882,joint
vgg11,0.0,4,59.9000,1.979713,joint
vgg11,0.0,3,17.3300,7.561918,joint
vgg11,0.0,2,1.0200,17.871243,joint
vgg11,0.1,8,60.9500,1.771581,joint
vgg11,0.1,6,60.8500,1.777271,joint
vgg11,0.1,4,57.2800,1.953916,joint
vgg11,0.1,3,19.0000,6.240428,joint
vgg11,0.1,2,1.0600,14.725413,joint
vgg11,0.2,8,39.0200,2.907840,joint
vgg11,0.2,6,39.2300,2.908851,joint
vgg11,0.2,4,41.5000,2.754530,joint
vgg11,0.2,3,15.8100,6.052543,joint
vgg11,0.2,2,0.9300,12.484211,joint
vgg11,0.3,8,16.9100,4.598096,joint
vgg11,0.3,6,17.0300,4.590865,joint
vgg11,0.3,4,19.7500,4.171697,joint
vgg11,0.3,3,10.8700,6.427069,joint
vgg11,0.3,2,1.0500,10.446282,joint
