alpha,num_bits,accuracy,loss
-0.3,8,24.5700,9.687570
-0.3,6,24.3400,9.748015
-0.3,4,18.7600,11.640922
-0.3,3,6.1100,26.021111
-0.3,2,1.6900,67.844734
-0.2,8,43.2600,4.455603
-0.2,6,43.1100,4.484118
-0.2,4,34.6300,5.724263
-0.2,3,9.1800,16.508323
-0.2,2,1.4500,36.838248
-0.1,8,60.1000,2.227789
-0.1,6,60.1900,2.244913
-0.1,4,51.1700,2.947523
-0.1,3,13.2700,10.640428
-0.1,2,1.6400,23.291810
0.0,8,67.1400,1.563973
0.0,6,66.7200,1.577882
0.0,4,59.9000,1.979713
0.0,3,17.3300,7.561918
0.0,2,1.0200,17.871243
0.1,8,60.9500,1.771581
0.1,6,60.8500,1.777271
0.1,4,57.2800,1.953916
0.1,3,19.0000,6.240428
0.1,2,1.0600,14.725413
0.2,8,39.0200,2.907840
0.2,6,39.2300,2.908851
0.2,4,41.5000,2.754530
0.2,3,15.8100,6.052543
0.2,2,0.9300,12.484211
0.3,8,16.9100,4.598096
0.3,6,17.0300,4.590865
0.3,4,19.7500,4.171697
0.3,3,10.8700,6.427069
0.3,2,1.0500,10.446282
