model,weight_type,alpha,accuracy,loss,is_extrapolation
simple_cnn,clean,-0.6,21.01,10.124118,True
simple_cnn,clean,-0.5,26.76,7.159008,True
simple_cnn,clean,-0.4,34.21,4.942916,True
simple_cnn,clean,-0.35,38.53,4.080967,True
simple_cnn,clean,-0.3,42.91,3.368336,False
simple_cnn,clean,-0.2,51.14,2.350227,False
simple_cnn,clean,-0.1,57.22,1.76219,False
simple_cnn,clean,0.0,59.99,1.495841,False
simple_cnn,clean,0.1,58.09,1.528436,False
simple_cnn,clean,0.2,47.62,1.95414,False
simple_cnn,clean,0.3,28.09,2.857278,False
simple_cnn,clean,0.35,18.82,3.404818,True
simple_cnn,clean,0.4,12.32,3.924992,True
simple_cnn,clean,0.5,6.09,4.696515,True
simple_cnn,clean,0.6,3.05,5.159267,True
simple_cnn,nat_scratch,-0.6,25.7,9.240322,True
simple_cnn,nat_scratch,-0.5,32.03,6.351359,True
simple_cnn,nat_scratch,-0.4,39.15,4.346348,True
simple_cnn,nat_scratch,-0.35,42.76,3.6071,True
simple_cnn,nat_scratch,-0.3,46.2,3.009266,False
simple_cnn,nat_scratch,-0.2,52.68,2.161173,False
simple_cnn,nat_scratch,-0.1,58.14,1.671537,False
simple_cnn,nat_scratch,0.0,60.7,1.464393,False
simple_cnn,nat_scratch,0.1,57.21,1.571652,False
simple_cnn,nat_scratch,0.2,42.94,2.1509,False
simple_cnn,nat_scratch,0.3,21.41,3.277389,False
simple_cnn,nat_scratch,0.35,12.31,3.92005,True
simple_cnn,nat_scratch,0.4,7.07,4.489552,True
simple_cnn,nat_scratch,0.5,2.89,5.210935,True
simple_cnn,nat_scratch,0.6,1.24,5.487345,True
simple_cnn,nat_finetune,-0.6,23.8,8.217511,True
simple_cnn,nat_finetune,-0.5,30.01,5.866145,True
simple_cnn,nat_finetune,-0.4,37.21,4.11721,True
simple_cnn,nat_finetune,-0.35,41.43,3.440543,True
simple_cnn,nat_finetune,-0.3,45.79,2.885211,False
simple_cnn,nat_finetune,-0.2,53.07,2.094615,False
simple_cnn,nat_finetune,-0.1,58.22,1.648554,False
simple_cnn,nat_finetune,0.0,60.16,1.476614,False
simple_cnn,nat_finetune,0.1,56.82,1.585927,False
simple_cnn,nat_finetune,0.2,44.06,2.100384,False
simple_cnn,nat_finetune,0.3,24.81,3.079146,False
simple_cnn,nat_finetune,0.35,16.38,3.634018,True
simple_cnn,nat_finetune,0.4,11.18,4.133683,True
simple_cnn,nat_finetune,0.5,5.57,4.826538,True
simple_cnn,nat_finetune,0.6,2.72,5.238434,True
simple_cnn,exp2_robust,-0.6,20.52,18.830877,True
simple_cnn,exp2_robust,-0.5,26.63,11.988427,True
simple_cnn,exp2_robust,-0.4,34.39,7.395978,True
simple_cnn,exp2_robust,-0.35,38.74,5.758256,True
simple_cnn,exp2_robust,-0.3,43.1,4.469898,False
simple_cnn,exp2_robust,-0.2,52.15,2.759434,False
simple_cnn,exp2_robust,-0.1,58.17,1.863649,False
simple_cnn,exp2_robust,0.0,61.22,1.493491,False
simple_cnn,exp2_robust,0.1,58.12,1.521366,False
simple_cnn,exp2_robust,0.2,46.33,2.02227,False
simple_cnn,exp2_robust,0.3,25.16,3.028708,False
simple_cnn,exp2_robust,0.35,16.4,3.588736,True
simple_cnn,exp2_robust,0.4,10.13,4.089552,True
simple_cnn,exp2_robust,0.5,3.96,4.769788,True
simple_cnn,exp2_robust,0.6,1.94,5.058587,True
vgg11,clean,-0.6,3.72,58.584245,True
vgg11,clean,-0.5,6.41,34.961711,True
vgg11,clean,-0.4,12.13,19.396694,True
vgg11,clean,-0.35,17.27,13.898525,True
vgg11,clean,-0.3,24.48,9.682983,False
vgg11,clean,-0.2,43.28,4.455571,False
vgg11,clean,-0.1,60.14,2.225058,False
vgg11,clean,0.0,67.09,1.563895,False
vgg11,clean,0.1,60.94,1.771406,False
vgg11,clean,0.2,39.05,2.908753,False
vgg11,clean,0.3,16.92,4.5978,False
vgg11,clean,0.35,10.21,5.195968,True
vgg11,clean,0.4,6.41,5.521633,True
vgg11,clean,0.5,2.41,5.692458,True
vgg11,clean,0.6,1.28,5.697086,True
vgg11,nat_scratch,-0.6,6.78,36.476957,True
vgg11,nat_scratch,-0.5,10.9,22.439739,True
vgg11,nat_scratch,-0.4,19.23,12.901364,True
vgg11,nat_scratch,-0.35,26.06,9.521982,True
vgg11,nat_scratch,-0.3,34.07,6.935783,False
vgg11,nat_scratch,-0.2,50.15,3.666299,False
vgg11,nat_scratch,-0.1,62.01,2.128301,False
vgg11,nat_scratch,0.0,67.25,1.587119,False
vgg11,nat_scratch,0.1,62.95,1.685952,False
vgg11,nat_scratch,0.2,45.04,2.51298,False
vgg11,nat_scratch,0.3,21.89,3.984303,False
