noise_type,noise_std,accuracy,loss,dose
gaussian,0.005,16.69,4.617332,0.042139
gaussian,0.01,16.34,4.65314,0.081922
gaussian,0.02,15.1,4.774829,0.162176
gaussian,0.05,11.33,5.170692,0.401505
gaussian,0.1,6.39,5.787077,0.804359
gaussian,0.2,1.25,11.128176,1.821261
gaussian,0.3,1.03,106.999425,2.835388
gaussian,0.5,0.93,5104.362808,3.693532
uniform,0.005,16.84,4.606909,0.026756
uniform,0.01,16.76,4.620329,0.052039
uniform,0.02,16.16,4.667076,0.101514
uniform,0.05,14.27,4.887924,0.253037
uniform,0.1,10.41,5.288272,0.502527
uniform,0.2,4.33,6.171741,1.016887
uniform,0.3,1.42,8.341397,1.63571
uniform,0.5,1.09,80.020924,2.952155
