model,weight_type,alpha,accuracy,loss,is_extrapolation
vgg11,exp2_robust,-0.6,5.7,62.244256,True
vgg11,exp2_robust,-0.5,9.52,37.56358,True
vgg11,exp2_robust,-0.4,18.71,20.90712,True
vgg11,exp2_robust,-0.35,25.73,15.017057,True
vgg11,exp2_robust,-0.3,34.45,10.539897,False
vgg11,exp2_robust,-0.2,51.43,4.972721,False
vgg11,exp2_robust,-0.1,63.87,2.505252,False
vgg11,exp2_robust,0.0,68.05,1.708207,False
vgg11,exp2_robust,0.1,61.15,1.807058,False
vgg11,exp2_robust,0.2,40.17,2.771417,False
vgg11,exp2_robust,0.3,15.98,4.248525,False
vgg11,exp2_robust,0.35,9.05,4.834766,True
vgg11,exp2_robust,0.4,5.32,5.248104,True
vgg11,exp2_robust,0.5,1.33,5.66812,True
vgg11,exp2_robust,0.6,1.0,5.716682,True
resnet18,exp2_robust,-0.6,1.07,48.219167,True
resnet18,exp2_robust,-0.5,1.48,29.804589,True
resnet18,exp2_robust,-0.4,2.44,21.654981,True
resnet18,exp2_robust,-0.35,3.49,18.700648,True
resnet18,exp2_robust,-0.3,6.0,15.6085,False
resnet18,exp2_robust,-0.2,23.03,8.120666,False
resnet18,exp2_robust,-0.1,59.39,2.800123,False
resnet18,exp2_robust,0.0,73.57,1.525369,False
resnet18,exp2_robust,0.1,59.87,2.37735,False
resnet18,exp2_robust,0.2,19.26,6.600218,False
resnet18,exp2_robust,0.3,5.43,9.70454,False
resnet18,exp2_robust,0.35,3.53,9.946261,True
resnet18,exp2_robust,0.4,2.43,9.743538,True
resnet18,exp2_robust,0.5,1.57,8.731685,True
resnet18,exp2_robust,0.6,1.02,7.734737,True
