alpha,layer_name,RME,cosine_similarity
-0.3,layer1_output,0.56775395,0.89248937
-0.3,layer2_output,1.16643862,0.75639206
-0.3,layer3_output,2.35446587,0.51364386
-0.3,layer4_output,2.23349127,0.38603553
-0.3,fc_output,10.49503553,0.11836508
-0.2,layer1_output,0.34861363,0.94730043
-0.2,layer2_output,0.67544339,0.87298316
-0.2,layer3_output,1.18388389,0.69539505
-0.2,layer4_output,1.09173997,0.51442796
-0.2,fc_output,5.5108694,0.30328235
-0.1,layer1_output,0.16293187,0.9857654
-0.1,layer2_output,0.30632044,0.96303296
-0.1,layer3_output,0.47303518,0.89938474
-0.1,layer4_output,0.47013613,0.78764248
-0.1,fc_output,2.51284837,0.71861416
0.1,layer1_output,0.14730846,0.98586202
0.1,layer2_output,0.26849545,0.9589082
0.1,layer3_output,0.35581635,0.89932728
0.1,layer4_output,0.42505898,0.80895454
0.1,fc_output,1.73102348,0.77579224
0.2,layer1_output,0.28251406,0.94759887
0.2,layer2_output,0.49959733,0.84832078
0.2,layer3_output,0.65055549,0.69195008
0.2,layer4_output,0.83692428,0.54318666
0.2,fc_output,2.91922118,0.35203949
0.3,layer1_output,0.40538267,0.89231801
0.3,layer2_output,0.68523708,0.70384985
0.3,layer3_output,0.84533798,0.51619977
0.3,layer4_output,1.01521939,0.43241113
0.3,fc_output,3.14282567,0.14756936
