alpha,layer_name,RME,cosine_similarity
-0.3,conv1_output,0.1359067,0.99582976
-0.3,conv2_output,0.39904914,0.99646848
-0.3,conv3_output,0.93221836,0.95266771
-0.3,conv4_output,0.9364563,0.87833947
-0.3,fc_output,1.57412434,0.88215113
-0.2,conv1_output,0.09060454,0.99797744
-0.2,conv2_output,0.25864182,0.99828857
-0.2,conv3_output,0.54814061,0.97660393
-0.2,conv4_output,0.59323498,0.93696427
-0.2,fc_output,0.98424343,0.93974167
-0.1,conv1_output,0.04530227,0.99944669
-0.1,conv2_output,0.12572548,0.99953157
-0.1,conv3_output,0.2402718,0.99355459
-0.1,conv4_output,0.28001477,0.98158199
-0.1,fc_output,0.46605571,0.98258346
0.1,conv1_output,0.04530227,0.99932992
0.1,conv2_output,0.11884962,0.99943322
0.1,conv3_output,0.18360673,0.99281138
0.1,conv4_output,0.24477986,0.97791296
0.1,fc_output,0.41140564,0.97620732
0.2,conv1_output,0.09060449,0.99703395
0.2,conv2_output,0.23120406,0.99748725
0.2,conv3_output,0.32222876,0.97100973
0.2,conv4_output,0.45285911,0.90968788
0.2,fc_output,0.76133953,0.88362074
0.3,conv1_output,0.13590674,0.99258971
0.3,conv2_output,0.33747209,0.99367541
0.3,conv3_output,0.42915285,0.93399787
0.3,conv4_output,0.61928159,0.79332453
0.3,fc_output,1.02323009,0.69189417
