alpha,layer_name,RME,cosine_similarity
-0.3,block2_output,0.35500643,0.95754415
-0.3,block3_output,0.54504981,0.88464564
-0.3,block4_output,1.03919073,0.83731496
-0.3,block5_output,1.1315514,0.74990851
-0.3,fc_output,8.14624736,0.4078154
-0.2,block2_output,0.22687256,0.97881073
-0.2,block3_output,0.34744569,0.94276351
-0.2,block4_output,0.62433989,0.90922141
-0.2,block5_output,0.57631696,0.83985227
-0.2,fc_output,4.25878763,0.64345944
-0.1,block2_output,0.10900243,0.99411464
-0.1,block3_output,0.16690481,0.98433864
-0.1,block4_output,0.28547524,0.97169024
-0.1,block5_output,0.22026052,0.94282085
-0.1,fc_output,1.68739502,0.89215416
0.1,block2_output,0.10204303,0.99347252
0.1,block3_output,0.15391623,0.98440403
0.1,block4_output,0.24418519,0.96596795
0.1,block5_output,0.16210947,0.93964648
0.1,fc_output,1.12409007,0.90253794
0.2,block2_output,0.19897643,0.97405607
0.2,block3_output,0.2930709,0.94218338
0.2,block4_output,0.44553187,0.8722167
0.2,block5_output,0.3383773,0.82537121
0.2,fc_output,1.95467608,0.68259645
0.3,block2_output,0.29175698,0.94313717
0.3,block3_output,0.41414261,0.87983418
0.3,block4_output,0.59656663,0.74593443
0.3,block5_output,0.50020505,0.72418135
0.3,fc_output,2.49104516,0.43801808
