run,mode,profile,clean,neg0.3,pos0.3,mid_band,mean7,best_epoch,epochs,elapsed_min
adv_uniform,adv,uniform,60.27,45.06,24.32,53.84,49.29,112,120,135.9
budget_front,budget,front,60.72,46.76,19.56,52.3,48.04,120,120,52.3
budget_rear,budget,rear,60.9,47.42,25.46,54.03,49.99,120,120,51.4
budget_sens,budget,sens,60.07,40.3,26.13,52.8,48.24,119,120,51.4
budget_uniform,budget,uniform,60.85,43.56,26.03,53.56,49.24,112,120,60.0
curriculum_uniform,curriculum,uniform,60.25,45.62,21.78,51.93,47.91,113,120,64.2
gauss_uniform,gauss,uniform,55.79,40.14,22.01,48.21,44.4,117,120,43.3
joint_uniform,joint,uniform,55.2,41.77,15.27,46.22,42.44,118,120,60.5
range_0.50,range,uniform,61.03,46.29,20.48,52.68,48.36,112,120,41.0
simple_cnn_mp_clean_uniform,clean,uniform,60.99,46.85,42.47,56.48,53.75,101,120,56.9
simple_cnn_mp_plain_uniform,plain,uniform,61.18,48.43,41.55,56.88,54.09,112,120,63.8
