combo,size,acc,drop,additive_expect,super_additivity
clean,0,59.99,0.0,,
conv1,1,,1.59,,
conv2,1,,12.43,,
conv3,1,,7.56,,
conv4,1,,1.07,,
fc,1,,0.68,,
conv1+conv2,2,40.65,19.34,14.02,-5.32
conv1+conv3,2,48.45,11.54,9.15,-2.39
conv1+conv4,2,57.19,2.8,2.66,-0.14
conv1+fc,2,58.08,1.91,2.27,0.36
conv2+conv3,2,40.54,19.45,19.99,0.54
conv2+conv4,2,45.81,14.18,13.5,-0.68
conv2+fc,2,47.53,12.46,13.11,0.65
conv3+conv4,2,47.15,12.84,8.63,-4.21
conv3+fc,2,51.61,8.38,8.24,-0.14
conv4+fc,2,58.03,1.96,1.75,-0.21
ALL5,5,28.09,31.9,23.33,-8.57
