condition,probe_same_cond,probe_clean_train,head_acc,headroom_same
clean,52.91,52.91,59.6,-6.69
all|alpha=+0.1,52.91,49.41,57.78,-4.86
all|alpha=-0.1,52.31,49.49,56.81,-4.5
all|alpha=+0.2,51.4,36.55,47.05,4.35
all|alpha=-0.2,50.49,42.81,50.99,-0.5
all|alpha=+0.3,47.89,17.97,27.76,20.12
all|alpha=-0.3,47.59,34.69,42.62,4.96
all|alpha=+0.4,42.65,6.51,12.24,30.41
all|alpha=+0.5,36.38,3.34,6.0,30.38
conv1|alpha=+0.3,52.61,51.08,58.0,-5.39
conv2|alpha=+0.3,50.99,38.4,47.2,3.79
conv3|alpha=+0.3,52.15,43.8,52.04,0.11
conv4|alpha=+0.3,52.95,49.88,58.51,-5.56
fc|alpha=+0.3,52.79,51.86,59.01,-6.23
all|sigma=0.1,39.73,27.6,33.48,6.25
all|sigma=0.2,20.28,7.96,10.59,9.69
all|sigma=0.3,10.89,2.97,3.89,7.0
