condition,probe_same_cond,probe_clean_train,head_acc,headroom_same
clean,52.52,52.52,59.96,-7.44
all|alpha=+0.1,52.6,48.45,56.59,-3.99
all|alpha=-0.1,52.14,48.8,57.34,-5.2
all|alpha=+0.2,50.88,32.67,42.26,8.61
all|alpha=-0.2,50.69,42.1,52.06,-1.38
all|alpha=+0.3,47.69,14.21,21.11,26.58
all|alpha=-0.3,48.77,34.79,45.55,3.22
all|alpha=+0.4,43.2,4.41,6.81,36.39
all|alpha=+0.5,37.09,1.8,2.89,34.2
conv1|alpha=+0.3,51.66,50.64,58.32,-6.66
conv2|alpha=+0.3,50.02,36.33,44.47,5.55
conv3|alpha=+0.3,52.12,43.39,51.34,0.79
conv4|alpha=+0.3,52.33,48.69,58.1,-5.77
fc|alpha=+0.3,52.06,51.56,59.58,-7.51
all|sigma=0.1,39.65,29.21,37.04,2.61
all|sigma=0.2,20.51,7.71,11.71,8.8
all|sigma=0.3,10.64,3.55,4.64,6.0
