arch,dist,w_-0.3,w_-0.2,w_-0.1,w_0.0,w_0.1,w_0.2,w_0.3,acc_clean_head,acc_robust_head,acc_router,acc_softgate,oracle,soft_minus_robust,soft_minus_clean
simple_cnn_mp,"① 训练分布 U[−0.3,+0.3]（参照）",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,54.12,52.19,54.49,55.08,54.96,2.9,0.96
simple_cnn_mp,"② 偏斜 U[0,+0.3]（仅正向）",0.0,0.0,0.0,0.25,0.25,0.25,0.25,54.53,52.85,55.49,56.07,55.87,3.21,1.54
simple_cnn_mp,"③ 偏斜 U[−0.3,0]（仅负向）",0.25,0.25,0.25,0.25,0.0,0.0,0.0,55.43,52.25,55.1,55.5,55.56,3.26,0.07
simple_cnn_mp,"④ 双峰混合 0.5N(−0.2,0.05)+0.5N(+0.2,0.05)",0.0532,0.3934,0.0532,0.0003,0.0532,0.3934,0.0532,53.71,52.03,53.25,54.4,54.02,2.37,0.69
simple_cnn_mp,⑤ 尾部集中 0.5·δ(−0.3)+0.5·δ(+0.3),0.5,0.0,0.0,0.0,0.0,0.0,0.5,45.63,48.57,48.1,49.11,48.57,0.54,3.48
simple_cnn_mp,"⑥ 单峰正向 N(+0.3,0.05)",0.0,0.0,0.0,0.0,0.0003,0.1192,0.8805,44.51,49.08,48.57,49.83,49.24,0.74,5.32
simple_cnn,"① 训练分布 U[−0.3,+0.3]（参照）",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,49.65,52.39,53.57,54.17,53.76,1.78,4.52
simple_cnn,"② 偏斜 U[0,+0.3]（仅正向）",0.0,0.0,0.0,0.25,0.25,0.25,0.25,48.62,52.76,54.22,54.66,54.44,1.9,6.04
simple_cnn,"③ 偏斜 U[−0.3,0]（仅负向）",0.25,0.25,0.25,0.25,0.0,0.0,0.0,53.26,52.88,54.53,55.12,54.64,2.24,1.85
simple_cnn,"④ 双峰混合 0.5N(−0.2,0.05)+0.5N(+0.2,0.05)",0.0532,0.3934,0.0532,0.0003,0.0532,0.3934,0.0532,49.21,52.38,52.33,53.58,52.67,1.2,4.37
simple_cnn,⑤ 尾部集中 0.5·δ(−0.3)+0.5·δ(+0.3),0.5,0.0,0.0,0.0,0.0,0.0,0.5,36.14,47.71,47.59,47.7,47.71,-0.01,11.56
simple_cnn,"⑥ 单峰正向 N(+0.3,0.05)",0.0,0.0,0.0,0.0,0.0003,0.1192,0.8805,30.57,47.29,47.17,47.13,47.29,-0.16,16.55
