seed,alpha,acc_clean_head,acc_robust_head,acc_router,acc_softgate,oracle,tau,ahat_mean,ridge_R2,ridge_MAE
42,-0.3,2.77,28.84,28.84,27.86,28.84,0.05,-0.285,0.9778,0.0219
42,-0.2,10.27,45.05,45.05,39.68,45.05,0.05,-0.1998,0.9778,0.0219
42,-0.1,46.61,60.95,60.45,57.2,60.95,0.05,-0.1014,0.9778,0.0219
42,0.0,72.69,68.29,72.22,72.64,72.69,0.05,-0.0017,0.9778,0.0219
42,0.1,65.94,67.22,67.29,69.12,67.22,0.05,0.0996,0.9778,0.0219
42,0.2,25.63,56.8,56.8,54.02,56.8,0.05,0.202,0.9778,0.0219
42,0.3,6.29,37.12,37.12,36.94,37.12,0.05,0.2868,0.9778,0.0219
43,-0.3,2.77,30.06,30.06,28.46,30.06,0.05,-0.285,0.9778,0.0219
43,-0.2,10.27,46.49,46.49,38.85,46.49,0.05,-0.1998,0.9778,0.0219
43,-0.1,46.61,61.31,60.86,57.09,61.31,0.05,-0.1014,0.9778,0.0219
43,0.0,72.69,68.4,72.14,72.89,72.69,0.05,-0.0017,0.9778,0.0219
43,0.1,65.94,67.57,67.61,69.07,67.57,0.05,0.0996,0.9778,0.0219
43,0.2,25.63,57.74,57.74,54.73,57.74,0.05,0.202,0.9778,0.0219
43,0.3,6.29,38.03,38.03,38.17,38.03,0.05,0.2868,0.9778,0.0219
44,-0.3,2.77,27.54,27.54,26.54,27.54,0.05,-0.285,0.9778,0.0219
44,-0.2,10.27,45.39,45.39,39.11,45.39,0.05,-0.1998,0.9778,0.0219
44,-0.1,46.61,60.63,60.04,56.75,60.63,0.05,-0.1014,0.9778,0.0219
44,0.0,72.69,68.29,72.21,72.82,72.69,0.05,-0.0017,0.9778,0.0219
44,0.1,65.94,67.15,67.18,69.42,67.15,0.05,0.0996,0.9778,0.0219
44,0.2,25.63,56.03,56.03,53.74,56.03,0.05,0.202,0.9778,0.0219
44,0.3,6.29,36.19,36.19,36.05,36.19,0.05,0.2868,0.9778,0.0219
