seed,alpha,acc_clean_head,acc_robust_head,acc_router,acc_softgate,oracle,tau,ahat_mean,ridge_R2,ridge_MAE
42,-0.3,34.79,52.1,52.1,52.23,52.1,0.1,-0.3091,0.9516,0.0324
42,-0.2,51.54,59.22,59.03,59.55,59.22,0.1,-0.1878,0.9516,0.0324
42,-0.1,63.78,62.96,63.36,64.92,63.78,0.1,-0.0829,0.9516,0.0324
42,0.0,68.05,64.62,68.01,68.09,68.05,0.1,0.015,0.9516,0.0324
42,0.1,61.14,63.5,62.89,64.28,63.5,0.1,0.1078,0.9516,0.0324
42,0.2,39.8,59.7,59.7,58.72,59.7,0.1,0.1913,0.9516,0.0324
42,0.3,15.73,52.16,52.16,51.39,52.16,0.1,0.2561,0.9516,0.0324
43,-0.3,34.79,51.25,51.25,51.5,51.25,0.1,-0.3091,0.9516,0.0324
43,-0.2,51.54,58.85,58.73,59.22,58.85,0.1,-0.1878,0.9516,0.0324
43,-0.1,63.78,63.14,63.29,65.27,63.78,0.1,-0.0829,0.9516,0.0324
43,0.0,68.05,64.55,68.0,67.94,68.05,0.1,0.015,0.9516,0.0324
43,0.1,61.14,63.39,63.02,64.01,63.39,0.1,0.1078,0.9516,0.0324
43,0.2,39.8,59.07,59.07,58.07,59.07,0.1,0.1913,0.9516,0.0324
43,0.3,15.73,51.35,51.35,50.23,51.35,0.1,0.2561,0.9516,0.0324
44,-0.3,34.79,52.34,52.34,52.37,52.34,0.1,-0.3091,0.9516,0.0324
44,-0.2,51.54,59.34,59.16,59.61,59.34,0.1,-0.1878,0.9516,0.0324
44,-0.1,63.78,63.51,63.37,64.92,63.78,0.1,-0.0829,0.9516,0.0324
44,0.0,68.05,64.62,67.96,68.04,68.05,0.1,0.015,0.9516,0.0324
44,0.1,61.14,63.44,63.03,64.6,63.44,0.1,0.1078,0.9516,0.0324
44,0.2,39.8,59.55,59.55,58.62,59.55,0.1,0.1913,0.9516,0.0324
44,0.3,15.73,52.2,52.2,51.55,52.2,0.1,0.2561,0.9516,0.0324
