seed,alpha,acc_clean_head,acc_robust_head,acc_router,acc_softgate,oracle,tau,ahat_mean,ridge_R2,ridge_MAE
42,-0.3,44.09,48.83,48.61,49.12,48.83,0.175,-0.2872,0.935,0.0361
42,-0.2,51.53,52.04,52.19,53.68,52.04,0.175,-0.1887,0.935,0.0361
42,-0.1,57.44,54.35,57.27,57.65,57.44,0.175,-0.0927,0.935,0.0361
42,0.0,59.99,55.84,59.99,60.04,59.99,0.175,0.0029,0.935,0.0361
42,0.1,58.2,55.69,58.22,58.72,58.2,0.175,0.0979,0.935,0.0361
42,0.2,48.1,53.17,52.0,54.12,53.17,0.175,0.1889,0.935,0.0361
42,0.3,28.19,46.69,46.65,46.41,46.69,0.175,0.2687,0.935,0.0361
43,-0.3,44.09,49.24,49.09,49.38,49.24,0.15,-0.2872,0.935,0.0361
43,-0.2,51.53,52.65,52.51,53.87,52.65,0.15,-0.1887,0.935,0.0361
43,-0.1,57.44,54.72,57.04,57.7,57.44,0.15,-0.0927,0.935,0.0361
43,0.0,59.99,56.19,59.98,59.9,59.99,0.15,0.0029,0.935,0.0361
43,0.1,58.2,55.74,58.0,58.61,58.2,0.15,0.0979,0.935,0.0361
43,0.2,48.1,53.32,53.03,53.91,53.32,0.15,0.1889,0.935,0.0361
43,0.3,28.19,46.87,46.88,46.43,46.87,0.15,0.2687,0.935,0.0361
44,-0.3,44.09,48.65,48.43,49.05,48.65,0.175,-0.2872,0.935,0.0361
44,-0.2,51.53,51.98,51.98,53.46,51.98,0.175,-0.1887,0.935,0.0361
44,-0.1,57.44,54.55,57.26,57.62,57.44,0.175,-0.0927,0.935,0.0361
44,0.0,59.99,55.51,59.99,59.94,59.99,0.175,0.0029,0.935,0.0361
44,0.1,58.2,55.49,58.21,58.58,58.2,0.175,0.0979,0.935,0.0361
44,0.2,48.1,52.69,51.77,53.5,52.69,0.175,0.1889,0.935,0.0361
44,0.3,28.19,45.95,45.9,45.8,45.95,0.175,0.2687,0.935,0.0361
