seed,alpha,acc_clean_head,acc_robust_head,acc_router,oracle,tau,ahat_mean,ridge_R2,ridge_MAE
42,-0.3,48.05,48.64,48.34,48.64,0.175,-0.2651,0.8323,0.0595
42,-0.2,54.01,51.84,52.85,54.01,0.175,-0.1684,0.8323,0.0595
42,-0.1,58.67,54.09,58.35,58.67,0.175,-0.0776,0.8323,0.0595
42,0.0,60.99,55.27,60.92,60.99,0.175,0.0091,0.8323,0.0595
42,0.1,59.83,55.1,59.56,59.83,0.175,0.0911,0.8323,0.0595
42,0.2,54.09,52.78,53.33,54.09,0.175,0.1664,0.8323,0.0595
42,0.3,43.21,48.44,47.98,48.44,0.175,0.2312,0.8323,0.0595
43,-0.3,48.05,48.24,48.05,48.24,0.2,-0.2651,0.8323,0.0595
43,-0.2,54.01,51.18,52.79,54.01,0.2,-0.1684,0.8323,0.0595
43,-0.1,58.67,53.41,58.5,58.67,0.2,-0.0776,0.8323,0.0595
43,0.0,60.99,54.88,60.96,60.99,0.2,0.0091,0.8323,0.0595
43,0.1,59.83,54.76,59.72,59.83,0.2,0.0911,0.8323,0.0595
43,0.2,54.09,52.91,53.79,54.09,0.2,0.1664,0.8323,0.0595
43,0.3,43.21,48.32,47.18,48.32,0.2,0.2312,0.8323,0.0595
44,-0.3,48.05,48.8,48.48,48.8,0.175,-0.2651,0.8323,0.0595
44,-0.2,54.01,51.64,52.76,54.01,0.175,-0.1684,0.8323,0.0595
44,-0.1,58.67,53.85,58.26,58.67,0.175,-0.0776,0.8323,0.0595
44,0.0,60.99,55.15,60.89,60.99,0.175,0.0091,0.8323,0.0595
44,0.1,59.83,54.9,59.53,59.83,0.175,0.0911,0.8323,0.0595
44,0.2,54.09,52.76,53.46,54.09,0.175,0.1664,0.8323,0.0595
44,0.3,43.21,48.97,48.54,48.97,0.175,0.2312,0.8323,0.0595
