arch,layer,alpha,max_abs_diff,rel_diff,note
simple_cnn,poolin:pool1,0.1,0.0,0.0,post-ReLU(非负)
simple_cnn,poolin:pool1,-0.1,0.0,0.0,post-ReLU(非负)
simple_cnn,poolin:pool1,0.2,0.0,0.0,post-ReLU(非负)
simple_cnn,poolin:pool1,-0.2,0.0,0.0,post-ReLU(非负)
simple_cnn,poolin:pool1,0.3,0.0,0.0,post-ReLU(非负)
simple_cnn,poolin:pool1,-0.3,0.0,0.0,post-ReLU(非负)
simple_cnn,poolin:pool2,0.1,0.0,0.0,post-ReLU(非负)
simple_cnn,poolin:pool2,-0.1,0.0,0.0,post-ReLU(非负)
simple_cnn,poolin:pool2,0.2,0.0,0.0,post-ReLU(非负)
simple_cnn,poolin:pool2,-0.2,0.0,0.0,post-ReLU(非负)
simple_cnn,poolin:pool2,0.3,0.0,0.0,post-ReLU(非负)
simple_cnn,poolin:pool2,-0.3,0.0,0.0,post-ReLU(非负)
simple_cnn,convout:conv1,0.3,1.1614608764648438,0.061052259667506915,有符号(含负值)→尺度不匹配
simple_cnn,convout:conv2,0.3,2.6045799255371094,0.1193040308433475,有符号(含负值)→尺度不匹配
simple_cnn,convout:conv3,0.3,1.3983359336853027,0.20711451312223939,有符号(含负值)→尺度不匹配
simple_cnn,convout:conv4,0.3,0.25953102111816406,0.06343358293754459,有符号(含负值)→尺度不匹配
simple_cnn_mp,poolin:pool1,0.1,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool1,-0.1,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool1,0.2,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool1,-0.2,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool1,0.3,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool1,-0.3,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool2,0.1,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool2,-0.1,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool2,0.2,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool2,-0.2,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool2,0.3,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool2,-0.3,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool3,0.1,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool3,-0.1,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool3,0.2,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool3,-0.2,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool3,0.3,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool3,-0.3,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool4,0.1,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool4,-0.1,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool4,0.2,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool4,-0.2,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool4,0.3,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool4,-0.3,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool5,0.1,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool5,-0.1,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool5,0.2,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool5,-0.2,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool5,0.3,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,poolin:pool5,-0.3,0.0,0.0,post-ReLU(非负)
simple_cnn_mp,convout:conv1,0.3,1.4802980422973633,0.09294086969069223,有符号(含负值)→尺度不匹配
simple_cnn_mp,convout:conv2,0.3,3.408681869506836,0.17070696061771623,有符号(含负值)→尺度不匹配
simple_cnn_mp,convout:conv3,0.3,1.306896686553955,0.14365920206156083,有符号(含负值)→尺度不匹配
simple_cnn_mp,convout:conv4,0.3,0.43667078018188477,0.05937530615143224,有符号(含负值)→尺度不匹配
