alpha,n_train,n_test,head_acc,L_sk,NCM,RND_fixed,L_0,ETF_0.1,ETF_1.0
0.0,8000,10000,59.98,53.22,45.08,1.1,54.89,54.96,54.8
0.1,8000,10000,58.1,53.25,44.71,1.11,54.86,54.91,54.85
-0.1,8000,10000,57.21,52.45,43.68,1.21,54.02,54.02,53.98
0.2,8000,10000,47.58,51.77,42.25,1.17,53.52,53.52,53.34
-0.2,8000,10000,51.16,50.52,41.29,1.16,52.27,52.28,52.05
0.3,8000,10000,28.11,48.25,36.5,1.19,50.37,50.39,50.67
-0.3,8000,10000,42.91,47.57,37.84,1.33,49.5,49.48,49.45
0.4,8000,10000,12.33,43.22,29.11,1.25,45.17,45.2,45.11
-0.4,8000,10000,34.26,45.13,34.01,1.26,47.08,47.07,47.17
0.5,8000,10000,6.11,36.86,21.18,1.08,38.4,38.43,38.28
-0.5,8000,10000,26.75,42.28,30.14,1.37,44.97,44.98,45.13
