dataset,seed,alpha,acc_clean,acc_robust,acc_soft,oracle,soft_minus_oracle,p_err_clean,p_err_robust,double_fault,df_ratio,err_phi,rescue,hurt
cifar100,42,-0.3,48.05,48.66,49.23,48.66,0.57,0.5195,0.5134,0.4272,1.6017,0.6427,0.0183,0.0126
cifar100,42,-0.2,54.02,51.81,53.74,54.02,-0.28,0.4598,0.4819,0.389,1.7556,0.6723,0.051,0.0538
cifar100,42,-0.1,58.68,54.1,58.37,58.68,-0.31,0.4132,0.459,0.3615,1.9061,0.7003,0.0245,0.0276
cifar100,42,0.0,61.03,55.27,60.92,61.03,-0.11,0.3897,0.4473,0.3467,1.989,0.7109,0.014,0.0151
cifar100,42,0.1,59.84,55.08,59.53,59.84,-0.31,0.4016,0.4492,0.354,1.9623,0.7119,0.0255,0.0286
cifar100,42,0.2,54.08,52.79,54.99,54.08,0.91,0.4592,0.4721,0.3857,1.7792,0.679,0.0555,0.0464
cifar100,42,0.3,43.21,48.45,48.93,48.45,0.48,0.5679,0.5155,0.4411,1.5067,0.5992,0.0229,0.0181
cifar100,43,-0.3,48.05,48.25,48.83,48.25,0.58,0.5195,0.5175,0.4308,1.6024,0.6487,0.0176,0.0118
cifar100,43,-0.2,54.02,51.2,53.78,54.02,-0.24,0.4598,0.488,0.3928,1.7506,0.6761,0.0512,0.0536
cifar100,43,-0.1,58.68,53.42,58.25,58.68,-0.43,0.4132,0.4658,0.3641,1.8917,0.6987,0.025,0.0293
cifar100,43,0.0,61.03,54.9,60.5,61.03,-0.53,0.3897,0.451,0.3455,1.9658,0.6995,0.0133,0.0186
cifar100,43,0.1,59.84,54.75,59.2,59.84,-0.64,0.4016,0.4525,0.3522,1.9381,0.6987,0.0268,0.0332
cifar100,43,0.2,54.08,52.89,55.28,54.08,1.2,0.4592,0.4711,0.3815,1.7635,0.664,0.0621,0.0501
cifar100,43,0.3,43.21,48.34,48.95,48.34,0.61,0.5679,0.5166,0.4371,1.4899,0.5806,0.0244,0.0183
cifar100,44,-0.3,48.05,48.82,49.35,48.82,0.53,0.5195,0.5118,0.4262,1.603,0.6419,0.0182,0.0129
cifar100,44,-0.2,54.02,51.58,54.07,54.02,0.05,0.4598,0.4842,0.3886,1.7455,0.6663,0.0534,0.0529
cifar100,44,-0.1,58.68,53.82,58.36,58.68,-0.32,0.4132,0.4618,0.3612,1.8929,0.6941,0.025,0.0282
cifar100,44,0.0,61.03,55.18,60.67,61.03,-0.36,0.3897,0.4482,0.346,1.981,0.7065,0.0132,0.0168
cifar100,44,0.1,59.84,54.9,59.2,59.84,-0.64,0.4016,0.451,0.3531,1.9495,0.705,0.0248,0.0312
cifar100,44,0.2,54.08,52.73,55.18,54.08,1.1,0.4592,0.4727,0.3863,1.7797,0.6802,0.058,0.047
cifar100,44,0.3,43.21,48.98,49.38,48.98,0.4,0.5679,0.5102,0.4386,1.5138,0.6011,0.0219,0.0179
cifar10,42,-0.3,81.08,82.43,82.28,82.43,-0.15,0.1892,0.1757,0.1521,4.5755,0.7974,0.0057,0.0072
cifar10,42,-0.2,83.96,84.42,84.45,84.42,0.03,0.1604,0.1558,0.1335,5.3421,0.8153,0.0101,0.0098
cifar10,42,-0.1,86.55,85.82,86.41,86.55,-0.14,0.1345,0.1418,0.1187,6.2238,0.8371,0.006,0.0074
cifar10,42,0.0,87.49,86.51,87.39,87.49,-0.1,0.1251,0.1349,0.1081,6.4056,0.8072,0.0047,0.0057
