alpha,n,A_centered,V_centered,A_uncentered,V_uncentered,cos_mean,cos_std,cos_min,cos_max,ideal_cos,rank_eff,kappa99,fisher
0.0,10000,0.2518,0.2826,0.9523,0.0886,-0.0052,0.3105,-0.6634,0.9477,-0.0101,38.78336,18.39845,0.49096
0.1,10000,0.2578,0.2928,0.952,0.0901,-0.0048,0.3171,-0.6853,0.9516,-0.0101,37.18633,18.83838,0.50124
-0.1,10000,0.2487,0.2771,0.9552,0.0878,-0.0054,0.3072,-0.6705,0.9439,-0.0101,39.43161,18.233,0.46338
0.2,10000,0.2686,0.3079,0.9559,0.0899,-0.0043,0.329,-0.7093,0.9523,-0.0101,34.55694,19.4653,0.48914
-0.2,10000,0.248,0.2759,0.9594,0.088,-0.0056,0.3064,-0.6854,0.9439,-0.0101,39.16226,18.51544,0.4274
0.3,10000,0.286,0.3281,0.9645,0.0825,-0.0036,0.3475,-0.7371,0.9574,-0.0101,30.78377,20.47402,0.45669
-0.3,10000,0.2492,0.2791,0.9638,0.0893,-0.0057,0.3081,-0.7012,0.9435,-0.0101,38.00006,19.35759,0.39062
0.4,10000,0.3084,0.3517,0.9759,0.0661,-0.0025,0.3713,-0.7855,0.9616,-0.0101,25.60209,21.62192,0.41163
-0.4,10000,0.2533,0.2867,0.968,0.0916,-0.0058,0.3127,-0.7147,0.9429,-0.0101,35.98745,20.08364,0.35733
0.5,10000,0.3348,0.3799,0.9865,0.0469,-0.002,0.401,-0.8904,0.965,-0.0101,19.0393,25.92929,0.36247
-0.5,10000,0.2613,0.2979,0.9715,0.0947,-0.0059,0.3205,-0.7232,0.9418,-0.0101,33.27264,21.25304,0.32953
