condition,seed,head_acc_same_half,n_eval,probe_in_5000,probe_in_8000,probe_private_5000,headroom_in_5000,headroom_in_8000,headroom_private_5000
clean,21,60.42,5000,51.68,52.76,49.04,-8.74,-7.66,-11.38
clean,22,60.04,5000,52.06,52.6,48.14,-7.98,-7.44,-11.9
clean,23,59.06,5000,51.92,52.76,48.22,-7.14,-6.3,-10.84
all|alpha=+0.1,21,57.88,5000,51.88,52.94,48.66,-6.0,-4.94,-9.22
all|alpha=+0.1,22,58.34,5000,52.5,52.58,48.08,-5.84,-5.76,-10.26
all|alpha=+0.1,23,57.6,5000,51.58,52.34,48.42,-6.02,-5.26,-9.18
all|alpha=-0.1,21,57.38,5000,50.82,52.24,48.18,-6.56,-5.14,-9.2
all|alpha=-0.1,22,56.98,5000,51.02,51.84,47.12,-5.96,-5.14,-9.86
all|alpha=-0.1,23,56.28,5000,51.08,52.58,47.16,-5.2,-3.7,-9.12
all|alpha=+0.2,21,47.28,5000,49.96,51.94,46.98,2.68,4.66,-0.3
all|alpha=+0.2,22,48.08,5000,50.16,51.34,46.9,2.08,3.26,-1.18
all|alpha=+0.2,23,46.78,5000,49.34,50.94,47.7,2.56,4.16,0.92
all|alpha=-0.2,21,51.24,5000,48.48,50.44,45.94,-2.76,-0.8,-5.3
all|alpha=-0.2,22,51.36,5000,47.92,50.12,45.8,-3.44,-1.24,-5.56
all|alpha=-0.2,23,50.52,5000,48.74,50.46,45.62,-1.78,-0.06,-4.9
all|alpha=+0.3,21,27.2,5000,46.44,48.12,43.44,19.24,20.92,16.24
all|alpha=+0.3,22,28.12,5000,46.62,48.04,44.08,18.5,19.92,15.96
all|alpha=+0.3,23,27.86,5000,45.4,48.24,44.36,17.54,20.38,16.5
all|alpha=-0.3,21,42.36,5000,45.62,47.68,43.26,3.26,5.32,0.9
all|alpha=-0.3,22,42.82,5000,46.18,47.3,43.54,3.36,4.48,0.72
all|alpha=-0.3,23,42.66,5000,45.7,47.5,44.0,3.04,4.84,1.34
all|alpha=+0.4,21,12.04,5000,40.12,42.28,38.46,28.08,30.24,26.42
all|alpha=+0.4,22,11.76,5000,40.24,42.68,39.62,28.48,30.92,27.86
all|alpha=+0.4,23,12.8,5000,39.46,42.72,39.92,26.66,29.92,27.12
all|alpha=+0.5,21,6.04,5000,33.12,36.44,32.26,27.08,30.4,26.22
all|alpha=+0.5,22,5.74,5000,33.84,36.58,32.46,28.1,30.84,26.72
all|alpha=+0.5,23,6.6,5000,33.4,36.76,33.78,26.8,30.16,27.18
