condition,probe_same_cond,probe_clean_train,head_acc,headroom_same
clean,53.19,53.19,59.99,-6.8
all|alpha=+0.1,53.17,49.99,58.09,-4.92
all|alpha=-0.1,52.45,49.59,57.22,-4.77
all|alpha=+0.2,51.75,37.0,47.62,4.13
all|alpha=-0.2,50.64,42.84,51.14,-0.5
all|alpha=+0.3,48.35,18.1,28.09,20.26
all|alpha=-0.3,47.67,34.94,42.91,4.76
all|alpha=+0.4,43.22,6.55,12.32,30.9
all|alpha=+0.5,36.91,3.24,6.09,30.82
conv1|alpha=+0.3,53.08,51.48,58.4,-5.32
conv2|alpha=+0.3,51.39,38.63,47.56,3.83
conv3|alpha=+0.3,52.56,44.19,52.43,0.13
conv4|alpha=+0.3,53.21,50.05,58.92,-5.71
fc|alpha=+0.3,52.93,52.14,59.31,-6.38
all|sigma=0.1,39.59,28.67,33.77,5.82
all|sigma=0.2,20.86,7.78,10.04,10.82
all|sigma=0.3,11.37,3.18,3.87,7.5
