condition,probe_same_cond,probe_clean_train,head_acc,headroom_same
clean,54.18,54.18,59.99,-5.81
all|alpha=+0.1,54.3,51.14,58.09,-3.79
all|alpha=-0.1,52.87,50.76,57.22,-4.35
all|alpha=+0.2,52.85,37.16,47.62,5.23
all|alpha=-0.2,51.38,44.05,51.14,0.24
all|alpha=+0.3,49.79,18.48,28.09,21.7
all|alpha=-0.3,48.63,35.74,42.91,5.72
all|alpha=+0.4,44.95,7.09,12.32,32.63
all|alpha=+0.5,38.74,3.22,6.09,32.65
conv1|alpha=+0.3,53.77,52.53,58.4,-4.63
conv2|alpha=+0.3,52.9,38.61,47.56,5.34
conv3|alpha=+0.3,53.16,45.15,52.43,0.73
conv4|alpha=+0.3,54.46,50.81,58.92,-4.46
fc|alpha=+0.3,53.65,52.61,59.31,-5.66
all|sigma=0.1,41.01,29.18,33.77,7.24
all|sigma=0.2,22.24,6.99,10.04,12.2
all|sigma=0.3,11.91,2.35,3.87,8.04
