alpha,n,n_per_class,acc_mean,acc_std,acc_min,acc_max,n_seeds,head_acc
0.0,500,5.0,33.2367,0.9309,32.09,34.37,3,59.98
0.0,1000,10.0,41.5567,0.1826,41.3,41.71,3,59.98
0.0,2000,20.0,47.3667,0.1733,47.13,47.54,3,59.98
0.0,4000,40.0,50.51,0.3612,50.14,51.0,3,59.98
0.0,8000,80.0,53.56,0.4236,52.98,53.98,3,59.98
0.0,16000,160.0,55.6867,0.2562,55.33,55.92,3,59.98
0.0,20000,200.0,56.3367,0.0125,56.32,56.35,3,59.98
0.3,500,5.0,26.92,0.4581,26.38,27.5,3,28.11
0.3,1000,10.0,34.5967,0.4806,34.18,35.27,3,28.11
0.3,2000,20.0,40.6133,0.3371,40.37,41.09,3,28.11
0.3,4000,40.0,44.5233,0.3108,44.13,44.89,3,28.11
0.3,8000,80.0,48.32,0.4041,48.0,48.89,3,28.11
0.3,16000,160.0,51.9133,0.0939,51.8,52.03,3,28.11
0.3,20000,200.0,52.92,0.0,52.92,52.92,3,28.11
