run_id,date,dataset,model,weight_type,seed,epochs,alpha_protocol,clean,drop_at_0.3,mid_band_mean,neg_0.3,pos_0.3,params,pairing_check,artifact_path,verdict
cifar10|simple_cnn|clean|7pt,2026-07-29,cifar10,simple_cnn,clean,42,100,7pt,84.9,29.82,79.8525,76.06,55.08,254084,0.0000 PASS,outputs/task1_simplecnn/,train.py clean + task1 敏感性扫描
cifar10|vgg11|clean|7pt,2026-09-03,cifar10,vgg11,clean,42,100,7pt,89.8,53.1,77.615,51.83,36.7,9277284,0.0000 PASS,outputs/task1_vgg11/,train.py clean + task1 敏感性扫描
cifar10|resnet18|clean|7pt,2026-07-30,cifar10,resnet18,clean,42,100,7pt,92.09,75.01,60.3425,12.38,17.08,11220132,0.0000 PASS,outputs/task1_resnet18/,train.py clean + task1 敏感性扫描
cifar10|simple_cnn|nat_scratch|7pt,2026-07-29,cifar10,simple_cnn,nat_scratch,42,120,7pt,86.49,22.26,83.5775,81.54,64.23,254084,0.0000 PASS,outputs/task2_simplecnn/scratch/,NAT-scratch
cifar10|simple_cnn|nat_finetune|7pt,2026-07-30,cifar10,simple_cnn,nat_finetune,42,80,7pt,85.49,29.41,80.4425,77.27,56.08,254084,0.0000 PASS,outputs/task2_simplecnn/finetune/,NAT-finetune
cifar10|vgg11|nat_scratch|7pt,2026-07-31,cifar10,vgg11,nat_scratch,42,120,7pt,90.18,45.44,81.8825,64.72,44.74,9277284,0.0000 PASS,outputs/task2_vgg11/scratch/,NAT-scratch
cifar10|vgg11|nat_finetune|7pt,2026-07-30,cifar10,vgg11,nat_finetune,42,80,7pt,89.9,49.94,79.1875,55.33,39.96,9277284,0.0000 PASS,outputs/task2_vgg11/finetune/,NAT-finetune
cifar10|resnet18|nat_scratch|7pt,2026-07-30,cifar10,resnet18,nat_scratch,42,120,7pt,92.27,76.63,67.845,18.65,15.64,11220132,0.0000 PASS,outputs/task2_resnet18/scratch/,NAT-scratch
cifar10|resnet18|nat_finetune|7pt,2026-07-30,cifar10,resnet18,nat_finetune,42,80,7pt,91.99,72.1,63.395,13.34,19.89,11220132,0.0000 PASS,outputs/task2_resnet18/finetune/,NAT-finetune
cifar10|simple_cnn|task3_Exp1_CalibOnly|7pt,2026-07-29,cifar10,simple_cnn,task3_Exp1_CalibOnly,42,120,7pt,87.19,23.56,83.8375,78.06,63.63,254084,0.0000 PASS,outputs/task3_simplecnn/Exp1_CalibOnly/,task3 消融（robust_cnn 协议）
cifar10|simple_cnn|task3_Exp2_Calib+Layerwise|7pt,2026-07-30,cifar10,simple_cnn,task3_Exp2_Calib+Layerwise,42,120,7pt,87.37,18.61,84.21,78.64,68.76,254084,0.0000 PASS,outputs/task3_simplecnn/Exp2_Calib+Layerwise/,task3 消融（robust_cnn 协议）
cifar10|simple_cnn|task3_Exp3_FullRobust|7pt,2026-07-30,cifar10,simple_cnn,task3_Exp3_FullRobust,42,120,7pt,87.59,18.45,84.255,77.6,69.14,254084,0.0000 PASS,outputs/task3_simplecnn/Exp3_FullRobust/,task3 消融（robust_cnn 协议）
cifar10|resnet18|clean|15pt,2026-08-27,cifar10,resnet18,clean,42,,15pt,92.09,75.01,60.3425,12.38,17.08,11220132,n/a(扫描复用权重),outputs/extension4_alpha_wide/alpha_wide_scan_summary.csv [rows=15],ext4 宽范围外推扫描
cifar10|resnet18|nat_finetune|15pt,2026-08-27,cifar10,resnet18,nat_finetune,42,,15pt,91.99,72.1,63.395,13.34,19.89,11220132,n/a(扫描复用权重),outputs/extension4_alpha_wide/alpha_wide_scan_summary.csv [rows=15],ext4 宽范围外推扫描
cifar10|resnet18|nat_scratch|15pt,2026-08-27,cifar10,resnet18,nat_scratch,42,,15pt,92.27,76.63,67.845,18.65,15.64,11220132,n/a(扫描复用权重),outputs/extension4_alpha_wide/alpha_wide_scan_summary.csv [rows=15],ext4 宽范围外推扫描
cifar10|simple_cnn|clean|15pt,2026-08-27,cifar10,simple_cnn,clean,42,,15pt,84.9,29.82,79.8525,76.06,55.08,254084,n/a(扫描复用权重),outputs/extension4_alpha_wide/alpha_wide_scan_summary.csv [rows=15],ext4 宽范围外推扫描
cifar10|simple_cnn|exp2_robust|15pt,2026-08-27,cifar10,simple_cnn,exp2_robust,42,,15pt,87.37,18.61,84.21,78.64,68.76,254084,n/a(扫描复用权重),outputs/extension4_alpha_wide/alpha_wide_scan_summary.csv [rows=15],ext4 宽范围外推扫描
cifar10|simple_cnn|nat_finetune|15pt,2026-08-27,cifar10,simple_cnn,nat_finetune,42,,15pt,85.49,29.41,80.4425,77.27,56.08,254084,n/a(扫描复用权重),outputs/extension4_alpha_wide/alpha_wide_scan_summary.csv [rows=15],ext4 宽范围外推扫描
cifar10|simple_cnn|nat_scratch|15pt,2026-08-27,cifar10,simple_cnn,nat_scratch,42,,15pt,86.49,22.26,83.5775,81.54,64.23,254084,n/a(扫描复用权重),outputs/extension4_alpha_wide/alpha_wide_scan_summary.csv [rows=15],ext4 宽范围外推扫描
cifar10|vgg11|clean|15pt,2026-08-27,cifar10,vgg11,clean,42,,15pt,89.8,53.1,77.615,51.83,36.7,9277284,n/a(扫描复用权重),outputs/extension4_alpha_wide/alpha_wide_scan_summary.csv [rows=15],ext4 宽范围外推扫描
cifar10|vgg11|nat_finetune|15pt,2026-08-27,cifar10,vgg11,nat_finetune,42,,15pt,89.9,49.94,79.1875,55.33,39.96,9277284,n/a(扫描复用权重),outputs/extension4_alpha_wide/alpha_wide_scan_summary.csv [rows=15],ext4 宽范围外推扫描
cifar10|vgg11|nat_scratch|15pt,2026-08-27,cifar10,vgg11,nat_scratch,42,,15pt,90.18,45.44,81.8825,64.72,44.74,9277284,n/a(扫描复用权重),outputs/extension4_alpha_wide/alpha_wide_scan_summary.csv [rows=15],ext4 宽范围外推扫描
cifar10|resnet18|exp2_robust|15pt,2026-08-27,cifar10,resnet18,exp2_robust,42,120,15pt,93.27,73.15,71.52,23.59,20.12,11220132,0.0000 PASS,outputs/extension6_deep_robust/resnet18/,ext6 Exp2 深层迁移
cifar10|vgg11|exp2_robust|15pt,2026-08-27,cifar10,vgg11,exp2_robust,42,120,15pt,91.27,41.02,84.4275,69.99,50.25,9277284,0.0000 PASS,outputs/extension6_deep_robust/vgg11/,ext6 Exp2 深层迁移
cifar100|simple_cnn|clean|7pt,2026-09-02,cifar100,simple_cnn,clean,42,120,7pt,59.99,31.9,53.5175,42.91,28.09,254084,0.0000 PASS,outputs_cifar100/task1_simplecnn/,train.py clean + task1 敏感性扫描
cifar100|vgg11|clean|7pt,2026-09-02,cifar100,vgg11,clean,42,200,7pt,67.09,50.17,50.8525,24.48,16.92,9277284,0.0000 PASS,outputs_cifar100/task1_vgg11/,train.py clean + task1 敏感性扫描
